variant,task,cell,n_repeats,outer_folds_per_repeat,n_paired_outer_draws,n_unique_compounds,n_test_evaluations,mean_auprc_chem,sd_auprc_chem,mean_auprc_bio,sd_auprc_bio,mean_delta_auprc,sd_delta_auprc,nb_auprc_corrected_se,nb_auprc_ci_low,nb_auprc_ci_high,nb_auprc_t_stat,nb_auprc_df,nb_auprc_p_value,nb_auprc_inference_valid,nb_auprc_variance_degenerate,nb_auprc_correction_factor,nb_auprc_mean_test_train_ratio,mean_auroc_chem,sd_auroc_chem,mean_auroc_bio,sd_auroc_bio,mean_delta_auroc,sd_delta_auroc,nb_auroc_corrected_se,nb_auroc_ci_low,nb_auroc_ci_high,nb_auroc_t_stat,nb_auroc_df,nb_auroc_p_value,nb_auroc_inference_valid,nb_auroc_variance_degenerate,nb_auroc_correction_factor,nb_auroc_mean_test_train_ratio,mean_log_loss_chem,sd_log_loss_chem,mean_log_loss_bio,sd_log_loss_bio,mean_delta_log_loss,sd_delta_log_loss,nb_log_loss_corrected_se,nb_log_loss_ci_low,nb_log_loss_ci_high,nb_log_loss_t_stat,nb_log_loss_df,nb_log_loss_p_value,nb_log_loss_inference_valid,nb_log_loss_variance_degenerate,nb_log_loss_correction_factor,nb_log_loss_mean_test_train_ratio,nb_auprc_q_value,significant_positive_auprc_fdr,nb_auroc_q_value,significant_positive_auroc_fdr,nb_log_loss_q_value,significant_positive_log_loss_fdr,significant_improvement_log_loss_fdr
standardized,NR-Aromatase,HT29,20,5,100,475,9500,0.3705657701687539,0.14708370092047135,0.3708956485786499,0.14764337704498404,0.000329878409895839,0.0032987840989583904,0.0017057828901193702,-0.003054764916272488,0.0037145217360641664,0.19338827456098717,99,0.8470511113185921,True,False,0.2673866516611595,0.2573866516611595,0.7185963841922266,0.09897368607008382,0.71862700536458,0.09900741326874384,3.0621172353455e-05,0.00030621172353455,0.00015834037726934815,-0.0002835604883326657,0.0003448028330395757,0.19338827456098723,99,0.8470511113185921,True,False,0.2673866516611595,0.2573866516611595,0.28163587940345663,0.05861989504620072,0.28162502600331735,0.05861310792866219,-1.0853400139339176e-05,0.00010852388185939447,5.6117095054369606e-05,-0.0001222018914156434,0.00010049509113696506,-0.19340630745094256,99,0.847037027955786,True,False,0.2673866516611595,0.2573866516611595,1.0,False,1.0,False,1.0,False,False
standardized,NR-Aromatase,MCF7,20,5,100,1012,20240,0.4106422400388259,0.12617435185426845,0.5383497949371577,0.13415320703362787,0.12770755489833177,0.09789558005031622,0.051107672370195374,0.02629884502923817,0.22911626476742536,2.4987941922553176,99,0.014107616139799896,True,False,0.2725499056895261,0.2625499056895261,0.769024437583283,0.07722101416010521,0.829870725866488,0.07208000952864531,0.06084628828320524,0.045053715130245295,0.02352088327944131,0.01417575296568066,0.10751682360072982,2.5869049032010043,99,0.01113806969285075,True,False,0.2725499056895261,0.2625499056895261,0.23624693474418876,0.04630656325145822,0.20778510016533513,0.041428396571317264,-0.028461834578853634,0.017572082440077512,0.009173736258041036,-0.04666451757072849,-0.01025915158697878,-3.1025346465466606,99,0.0025006317427105373,True,False,0.2725499056895261,0.2625499056895261,0.05643046455919958,False,0.044552278771403,True,0.01000252697084215,False,True
standardized,NR-ER,HA1E,20,5,100,689,13780,0.441239084481152,0.1229819975129796,0.4408105638854829,0.12421344803667896,-0.000428520595669015,0.008403175010971058,0.004369892109535161,-0.009099334595672718,0.008242293404334687,-0.0980620539198159,99,0.9220812878653832,True,False,0.270429840494913,0.26042984049491297,0.6973137304384737,0.0726489396107617,0.6964170864607006,0.07608663600443145,-0.000896643977772983,0.011224782993845939,0.005837209218183778,-0.01247893345799598,0.010685645502450014,-0.15360833306776178,99,0.8782312458109771,True,False,0.270429840494913,0.26042984049491297,0.4084197069923276,0.05135880858936194,0.4086101097971684,0.05230245164847597,0.0001904028048408328,0.005109893549321245,0.002657291258671898,-0.005082239555711791,0.005463045165393457,0.07165296774279657,99,0.9430226404102116,True,False,0.270429840494913,0.26042984049491297,1.0,False,1.0,False,1.0,False,False
standardized,NR-ER,HT29,20,5,100,487,9740,0.40931116198977924,0.14160352452262204,0.4092130883851554,0.14167256907409828,-9.8073604623897e-05,0.0008087612570736228,0.00041820227823384233,-0.0009278776542550375,0.0007317304450072435,-0.2345123633426456,99,0.8150715660570709,True,False,0.2673819655640312,0.2573819655640312,0.6621802781296973,0.09026719989535738,0.6620547020928309,0.09045422626215455,-0.000125576036866359,0.0009603888563339197,0.000496607378501908,-0.0011109528155341334,0.0008598007418014154,-0.25286784349676455,99,0.8008946509713208,True,False,0.2673819655640312,0.2573819655640312,0.40494933984448295,0.04996140081523097,0.40497485214107876,0.049979306509862716,2.5512296595701787e-05,0.000183414819855949,9.484195101425973e-05,-0.00016267471032094846,0.00021369930351235205,0.26899801535995344,99,0.7884910136417732,True,False,0.2673819655640312,0.2573819655640312,1.0,False,1.0,False,1.0,False,False
standardized,NR-ER,MCF7,20,5,100,1054,21080,0.40680838318492596,0.1019945310803967,0.40654464858253464,0.10212564391503073,-0.0002637346023913879,0.011441111565647564,0.005967318168898043,-0.012104188468164639,0.011576719263381862,-0.04419650417937922,99,0.9648367910978288,True,False,0.27203322346595576,0.26203322346595576,0.6719241124520778,0.06276284214155249,0.6719747930428821,0.06233205105379373,5.068059080428403e-05,0.004677019492604915,0.0024393839037729864,-0.004789586302299501,0.004890947483908069,0.0207759798389653,99,0.9834661750906379,True,False,0.27203322346595576,0.26203322346595576,0.384438523258256,0.03766546907466563,0.38410823831596597,0.03754400525237354,-0.0003302849422900206,0.0018460795776490222,0.0009628561125138478,-0.002240800362603749,0.0015802304780237078,-0.34302627152431403,99,0.7323060152589207,True,False,0.27203322346595576,0.26203322346595576,1.0,False,1.0,False,0.9598726596818761,False,False
standardized,NR-ER-LBD,HA1E,20,5,100,772,15440,0.4108917516339598,0.19494232566071934,0.39970663718090405,0.19015301757254086,-0.011185114453055667,0.05593005721507066,0.028934087305991733,-0.06859662096203666,0.046226392055925325,-0.38657222309339717,99,0.6999025566520198,True,False,0.267626459014266,0.257626459014266,0.8135052666700399,0.10084009659065453,0.8119048880029901,0.10160596725500128,-0.0016003786670497752,0.013912643728192446,0.00719737594296988,-0.0158815340194714,0.01268077668537185,-0.22235585298458163,99,0.8244949545803429,True,False,0.267626459014266,0.257626459014266,0.17783670608703647,0.044232695805264656,0.1780623571978471,0.04422407408311395,0.00022565111081060494,0.001550470281205898,0.0008020989914108087,-0.001365887304734739,0.001817189526355949,0.28132576306287094,99,0.7790477148698236,True,False,0.267626459014266,0.257626459014266,1.0,False,1.0,False,1.0,False,False
standardized,NR-ER-LBD,HT29,20,5,100,547,10940,0.37536357592456454,0.21689703026846205,0.36911428513909494,0.21565498144117892,-0.0062492907854695915,0.02867018825755252,0.014815758986578035,-0.03564697091610483,0.023148389345165644,-0.4218002460171619,99,0.6740853397946913,True,False,0.26704639513291806,0.25704639513291805,0.8384369848789522,0.1068361638442445,0.8369470398046889,0.10468402957807173,-0.001489945074263323,0.010279144935532657,0.005311905613763724,-0.012029918237907437,0.009050028089380793,-0.2804916319301144,99,0.779685649952518,True,False,0.26704639513291806,0.25704639513291805,0.16531029658254373,0.049537424906773965,0.16540219116105628,0.049545788579208085,9.189457851261123e-05,0.001555822413050854,0.000803995065906326,-0.0015034060601880614,0.0016871952172132839,0.11429744087921793,99,0.9092334950785091,True,False,0.26704639513291806,0.25704639513291805,1.0,False,1.0,False,1.0,False,False
standardized,NR-ER-LBD,MCF7,20,5,100,1178,23560,0.3972889319873574,0.18206864186022084,0.42923052641394155,0.17251079950931686,0.03194159442658402,0.06014751790898185,0.031190506620805542,-0.029947137536562134,0.09383032638973018,1.0240806542487344,99,0.3082930291307994,True,False,0.2689115386635822,0.2589115386635822,0.7900410019247598,0.09093682573424353,0.7827414027114256,0.09579451110910132,-0.007299599213334217,0.03936398990316258,0.020412858757594212,-0.04780313958890512,0.03320394116223669,-0.35759808559977135,99,0.7214053476117481,True,False,0.2689115386635822,0.2589115386635822,0.175367174830331,0.04124084029035511,0.17190330274268098,0.041285098961687965,-0.0034638720876500155,0.007297432611357501,0.003784206366152297,-0.010972558507376476,0.004044814332076445,-0.9153496803537196,99,0.362232283938585,True,False,0.2689115386635822,0.2589115386635822,0.7557487700305259,False,1.0,False,0.72446456787717,False,False
standardized,NR-PPAR-gamma,HA1E,20,5,100,696,13920,0.24085840620801247,0.1534563229366606,0.24085840620801247,0.1534563229366606,0.0,0.0,0.0,,,,99,,False,True,0.2695039235615009,0.25950392356150087,0.6726829963796505,0.1513024116233329,0.6726829963796505,0.1513024116233329,0.0,0.0,0.0,,,,99,,False,True,0.2695039235615009,0.25950392356150087,0.1677943769541138,0.04431571217620311,0.1677943770629446,0.04431571219288624,1.0883081102974757e-10,2.2847525412594219e-10,1.1861011177242915e-10,,,,99,,False,True,0.2695039235615009,0.25950392356150087,1.0,False,1.0,False,1.0,False,False
standardized,NR-PPAR-gamma,HT29,20,5,100,483,9660,0.27828467063155043,0.23771788638459726,0.2767347728390305,0.23688099016615213,-0.001549897792519966,0.010077941321229435,0.005212573317480933,-0.011892774130047483,0.008792978545007551,-0.297338319889375,99,0.7668312410008797,True,False,0.267522739147597,0.257522739147597,0.7297178528701879,0.15941560781563943,0.7260107266630617,0.15812603283159696,-0.0037071262071262066,0.026086927335458657,0.013492837180687932,-0.030479842464993825,0.02306559005074141,-0.27474771669461434,99,0.78408260726293,True,False,0.267522739147597,0.257522739147597,0.14933214374617973,0.048926904837421105,0.14958358757809834,0.049295967084838126,0.00025144383191859045,0.001976391838920323,0.0010222412530564698,-0.001776904590927534,0.002279792254764715,0.24597308234898677,99,0.8062123134595823,True,False,0.267522739147597,0.257522739147597,1.0,False,1.0,False,1.0,False,False
