variant,task,cell,lambda,selection_n,selection_pct
residualized,SR-p53,HA1E,1.0,12,12.0
residualized,SR-p53,HA1E,3.162277660168379,11,11.0
residualized,SR-p53,HA1E,10.0,5,5.0
residualized,SR-p53,HA1E,31.6227766016838,5,5.0
residualized,SR-p53,HA1E,100.0,1,1.0
residualized,SR-p53,HA1E,316.2277660168379,1,1.0
residualized,SR-p53,HA1E,100000000.0,59,59.0
residualized,SR-p53,HEPG2,0.3162277660168379,4,4.0
residualized,SR-p53,HEPG2,1.0,19,19.0
residualized,SR-p53,HEPG2,3.162277660168379,9,9.0
residualized,SR-p53,HEPG2,10.0,4,4.0
residualized,SR-p53,HEPG2,31.6227766016838,3,3.0
residualized,SR-p53,HEPG2,100.0,1,1.0
residualized,SR-p53,HEPG2,100000000.0,60,60.0
residualized,SR-p53,HT29,0.0999999999999999,1,1.0
residualized,SR-p53,HT29,0.3162277660168379,16,16.0
residualized,SR-p53,HT29,1.0,33,33.0
residualized,SR-p53,HT29,3.162277660168379,19,19.0
residualized,SR-p53,HT29,10.0,4,4.0
residualized,SR-p53,HT29,31.6227766016838,1,1.0
residualized,SR-p53,HT29,316.2277660168379,1,1.0
residualized,SR-p53,HT29,100000000.0,25,25.0
residualized,SR-p53,MCF7,0.0999999999999999,1,1.0
residualized,SR-p53,MCF7,0.3162277660168379,20,20.0
residualized,SR-p53,MCF7,1.0,24,24.0
residualized,SR-p53,MCF7,3.162277660168379,15,15.0
residualized,SR-p53,MCF7,10.0,2,2.0
residualized,SR-p53,MCF7,31.6227766016838,1,1.0
residualized,SR-p53,MCF7,100.0,1,1.0
residualized,SR-p53,MCF7,100000000.0,36,36.0
standardized,NR-AR,HA1E,1.0,2,2.0
standardized,NR-AR,HA1E,3.162277660168379,1,1.0
standardized,NR-AR,HA1E,31.6227766016838,1,1.0
standardized,NR-AR,HA1E,100000000.0,96,96.0
standardized,NR-AR,HEPG2,100000000.0,100,100.0
standardized,NR-AR,HT29,100000000.0,100,100.0
standardized,NR-AR,MCF7,3.162277660168379,1,1.0
standardized,NR-AR,MCF7,100000000.0,99,99.0
standardized,NR-AR-LBD,HA1E,100000000.0,100,100.0
standardized,NR-AR-LBD,HEPG2,10.0,1,1.0
standardized,NR-AR-LBD,HEPG2,100000000.0,99,99.0
standardized,NR-AR-LBD,HT29,3.162277660168379,1,1.0
standardized,NR-AR-LBD,HT29,10.0,1,1.0
standardized,NR-AR-LBD,HT29,100000000.0,98,98.0
standardized,NR-AR-LBD,MCF7,0.3162277660168379,2,2.0
standardized,NR-AR-LBD,MCF7,1.0,6,6.0
standardized,NR-AR-LBD,MCF7,3.162277660168379,7,7.0
standardized,NR-AR-LBD,MCF7,10.0,5,5.0
standardized,NR-AR-LBD,MCF7,31.6227766016838,2,2.0
standardized,NR-AR-LBD,MCF7,100.0,1,1.0
standardized,NR-AR-LBD,MCF7,100000000.0,77,77.0
standardized,NR-AhR,HA1E,3.162277660168379,2,2.0
standardized,NR-AhR,HA1E,31.6227766016838,3,3.0
standardized,NR-AhR,HA1E,100000000.0,95,95.0
standardized,NR-AhR,HEPG2,1.0,2,2.0
standardized,NR-AhR,HEPG2,3.162277660168379,2,2.0
standardized,NR-AhR,HEPG2,10.0,6,6.0
standardized,NR-AhR,HEPG2,31.6227766016838,1,1.0
standardized,NR-AhR,HEPG2,100000000.0,89,89.0
standardized,NR-AhR,HT29,10.0,1,1.0
standardized,NR-AhR,HT29,100.0,1,1.0
standardized,NR-AhR,HT29,100000000.0,98,98.0
standardized,NR-AhR,MCF7,1.0,2,2.0
standardized,NR-AhR,MCF7,3.162277660168379,1,1.0
standardized,NR-AhR,MCF7,100000000.0,97,97.0
standardized,NR-Aromatase,HA1E,3.162277660168379,8,8.0
standardized,NR-Aromatase,HA1E,10.0,5,5.0
standardized,NR-Aromatase,HA1E,31.6227766016838,6,6.0
standardized,NR-Aromatase,HA1E,100.0,3,3.0
standardized,NR-Aromatase,HA1E,1000.0,2,2.0
standardized,NR-Aromatase,HA1E,100000000.0,76,76.0
standardized,NR-Aromatase,HEPG2,1.0,1,1.0
standardized,NR-Aromatase,HEPG2,3.162277660168379,5,5.0
standardized,NR-Aromatase,HEPG2,10.0,12,12.0
standardized,NR-Aromatase,HEPG2,31.6227766016838,4,4.0
standardized,NR-Aromatase,HEPG2,100.0,1,1.0
standardized,NR-Aromatase,HEPG2,100000000.0,77,77.0
standardized,NR-Aromatase,HT29,1.0,1,1.0
standardized,NR-Aromatase,HT29,3.162277660168379,6,6.0
standardized,NR-Aromatase,HT29,10.0,4,4.0
standardized,NR-Aromatase,HT29,31.6227766016838,4,4.0
standardized,NR-Aromatase,HT29,100000000.0,85,85.0
standardized,NR-Aromatase,MCF7,1.0,4,4.0
standardized,NR-Aromatase,MCF7,3.162277660168379,15,15.0
standardized,NR-Aromatase,MCF7,10.0,8,8.0
standardized,NR-Aromatase,MCF7,31.6227766016838,6,6.0
standardized,NR-Aromatase,MCF7,100.0,1,1.0
standardized,NR-Aromatase,MCF7,316.2277660168379,1,1.0
standardized,NR-Aromatase,MCF7,100000000.0,65,65.0
standardized,NR-ER,HA1E,100.0,1,1.0
standardized,NR-ER,HA1E,100000000.0,99,99.0
standardized,NR-ER,HEPG2,31.6227766016838,1,1.0
standardized,NR-ER,HEPG2,100000000.0,99,99.0
standardized,NR-ER,HT29,100000000.0,100,100.0
standardized,NR-ER,MCF7,3.162277660168379,1,1.0
standardized,NR-ER,MCF7,10.0,2,2.0
standardized,NR-ER,MCF7,100000000.0,97,97.0
standardized,NR-ER-LBD,HA1E,10.0,1,1.0
standardized,NR-ER-LBD,HA1E,100000000.0,99,99.0
standardized,NR-ER-LBD,HEPG2,100000000.0,100,100.0
standardized,NR-ER-LBD,HT29,100000000.0,100,100.0
standardized,NR-ER-LBD,MCF7,0.3162277660168379,10,10.0
standardized,NR-ER-LBD,MCF7,1.0,21,21.0
standardized,NR-ER-LBD,MCF7,3.162277660168379,8,8.0
standardized,NR-ER-LBD,MCF7,31.6227766016838,1,1.0
standardized,NR-ER-LBD,MCF7,100000000.0,60,60.0
standardized,NR-PPAR-gamma,HA1E,100000000.0,100,100.0
standardized,NR-PPAR-gamma,HEPG2,100000000.0,100,100.0
standardized,NR-PPAR-gamma,HT29,0.3162277660168379,1,1.0
standardized,NR-PPAR-gamma,HT29,1.0,1,1.0
standardized,NR-PPAR-gamma,HT29,10.0,1,1.0
standardized,NR-PPAR-gamma,HT29,100000000.0,97,97.0
standardized,NR-PPAR-gamma,MCF7,100000000.0,100,100.0
standardized,SR-ARE,HA1E,3.162277660168379,2,2.0
standardized,SR-ARE,HA1E,10.0,7,7.0
standardized,SR-ARE,HA1E,31.6227766016838,9,9.0
standardized,SR-ARE,HA1E,100.0,6,6.0
standardized,SR-ARE,HA1E,316.2277660168379,1,1.0
standardized,SR-ARE,HA1E,100000000.0,75,75.0
standardized,SR-ARE,HEPG2,1.0,6,6.0
standardized,SR-ARE,HEPG2,3.162277660168379,26,26.0
standardized,SR-ARE,HEPG2,10.0,35,35.0
standardized,SR-ARE,HEPG2,31.6227766016838,19,19.0
standardized,SR-ARE,HEPG2,100.0,4,4.0
standardized,SR-ARE,HEPG2,100000000.0,10,10.0
standardized,SR-ARE,HT29,1.0,3,3.0
standardized,SR-ARE,HT29,3.162277660168379,10,10.0
standardized,SR-ARE,HT29,10.0,5,5.0
standardized,SR-ARE,HT29,31.6227766016838,4,4.0
standardized,SR-ARE,HT29,100.0,2,2.0
standardized,SR-ARE,HT29,100000000.0,76,76.0
standardized,SR-ARE,MCF7,0.3162277660168379,1,1.0
standardized,SR-ARE,MCF7,1.0,6,6.0
standardized,SR-ARE,MCF7,3.162277660168379,9,9.0
standardized,SR-ARE,MCF7,10.0,10,10.0
standardized,SR-ARE,MCF7,31.6227766016838,5,5.0
standardized,SR-ARE,MCF7,100.0,1,1.0
standardized,SR-ARE,MCF7,1000.0,1,1.0
standardized,SR-ARE,MCF7,100000000.0,67,67.0
standardized,SR-ATAD5,HA1E,1.0,4,4.0
standardized,SR-ATAD5,HA1E,3.162277660168379,2,2.0
standardized,SR-ATAD5,HA1E,10.0,2,2.0
standardized,SR-ATAD5,HA1E,100000000.0,92,92.0
standardized,SR-ATAD5,HEPG2,1.0,1,1.0
standardized,SR-ATAD5,HEPG2,3.162277660168379,2,2.0
standardized,SR-ATAD5,HEPG2,10.0,8,8.0
standardized,SR-ATAD5,HEPG2,31.6227766016838,1,1.0
standardized,SR-ATAD5,HEPG2,100.0,4,4.0
standardized,SR-ATAD5,HEPG2,316.2277660168379,1,1.0
standardized,SR-ATAD5,HEPG2,100000000.0,83,83.0
standardized,SR-ATAD5,HT29,0.3162277660168379,1,1.0
standardized,SR-ATAD5,HT29,1.0,5,5.0
standardized,SR-ATAD5,HT29,3.162277660168379,7,7.0
standardized,SR-ATAD5,HT29,10.0,3,3.0
standardized,SR-ATAD5,HT29,31.6227766016838,1,1.0
standardized,SR-ATAD5,HT29,100000000.0,83,83.0
standardized,SR-ATAD5,MCF7,0.3162277660168379,1,1.0
standardized,SR-ATAD5,MCF7,1.0,5,5.0
standardized,SR-ATAD5,MCF7,3.162277660168379,5,5.0
standardized,SR-ATAD5,MCF7,10.0,3,3.0
standardized,SR-ATAD5,MCF7,100000000.0,86,86.0
standardized,SR-HSE,HA1E,0.3162277660168379,1,1.0
standardized,SR-HSE,HA1E,1.0,6,6.0
standardized,SR-HSE,HA1E,3.162277660168379,11,11.0
standardized,SR-HSE,HA1E,10.0,2,2.0
standardized,SR-HSE,HA1E,31.6227766016838,4,4.0
standardized,SR-HSE,HA1E,100000000.0,76,76.0
standardized,SR-HSE,HEPG2,1.0,1,1.0
standardized,SR-HSE,HEPG2,3.162277660168379,4,4.0
standardized,SR-HSE,HEPG2,10.0,9,9.0
standardized,SR-HSE,HEPG2,31.6227766016838,5,5.0
standardized,SR-HSE,HEPG2,316.2277660168379,1,1.0
standardized,SR-HSE,HEPG2,100000000.0,80,80.0
standardized,SR-HSE,HT29,1.0,2,2.0
standardized,SR-HSE,HT29,3.162277660168379,1,1.0
standardized,SR-HSE,HT29,10.0,3,3.0
standardized,SR-HSE,HT29,100000000.0,94,94.0
standardized,SR-HSE,MCF7,1.0,1,1.0
standardized,SR-HSE,MCF7,3.162277660168379,6,6.0
standardized,SR-HSE,MCF7,10.0,2,2.0
standardized,SR-HSE,MCF7,31.6227766016838,1,1.0
standardized,SR-HSE,MCF7,100000000.0,90,90.0
standardized,SR-MMP,HA1E,1.0,15,15.0
standardized,SR-MMP,HA1E,3.162277660168379,37,37.0
standardized,SR-MMP,HA1E,10.0,25,25.0
standardized,SR-MMP,HA1E,31.6227766016838,12,12.0
standardized,SR-MMP,HA1E,100.0,3,3.0
standardized,SR-MMP,HA1E,316.2277660168379,1,1.0
standardized,SR-MMP,HA1E,1000.0,1,1.0
standardized,SR-MMP,HA1E,100000000.0,6,6.0
standardized,SR-MMP,HEPG2,1.0,5,5.0
standardized,SR-MMP,HEPG2,3.162277660168379,44,44.0
standardized,SR-MMP,HEPG2,10.0,33,33.0
standardized,SR-MMP,HEPG2,31.6227766016838,6,6.0
standardized,SR-MMP,HEPG2,1000.0,1,1.0
standardized,SR-MMP,HEPG2,10000.0,1,1.0
standardized,SR-MMP,HEPG2,100000000.0,10,10.0
standardized,SR-MMP,HT29,0.3162277660168379,3,3.0
standardized,SR-MMP,HT29,1.0,19,19.0
standardized,SR-MMP,HT29,3.162277660168379,48,48.0
standardized,SR-MMP,HT29,10.0,17,17.0
standardized,SR-MMP,HT29,31.6227766016838,5,5.0
standardized,SR-MMP,HT29,100.0,1,1.0
standardized,SR-MMP,HT29,316.2277660168379,1,1.0
standardized,SR-MMP,HT29,100000000.0,6,6.0
standardized,SR-MMP,MCF7,0.3162277660168379,8,8.0
standardized,SR-MMP,MCF7,1.0,41,41.0
standardized,SR-MMP,MCF7,3.162277660168379,29,29.0
standardized,SR-MMP,MCF7,10.0,11,11.0
standardized,SR-MMP,MCF7,31.6227766016838,5,5.0
standardized,SR-MMP,MCF7,100.0,1,1.0
standardized,SR-MMP,MCF7,100000000.0,5,5.0
standardized,SR-p53,HA1E,1.0,8,8.0
standardized,SR-p53,HA1E,3.162277660168379,16,16.0
standardized,SR-p53,HA1E,10.0,13,13.0
standardized,SR-p53,HA1E,31.6227766016838,8,8.0
standardized,SR-p53,HA1E,100.0,2,2.0
standardized,SR-p53,HA1E,316.2277660168379,2,2.0
standardized,SR-p53,HA1E,100000000.0,51,51.0
standardized,SR-p53,HEPG2,1.0,7,7.0
standardized,SR-p53,HEPG2,3.162277660168379,15,15.0
standardized,SR-p53,HEPG2,10.0,15,15.0
standardized,SR-p53,HEPG2,31.6227766016838,8,8.0
standardized,SR-p53,HEPG2,100.0,3,3.0
standardized,SR-p53,HEPG2,316.2277660168379,1,1.0
standardized,SR-p53,HEPG2,3162.277660168379,1,1.0
standardized,SR-p53,HEPG2,100000000.0,50,50.0
standardized,SR-p53,HT29,0.3162277660168379,2,2.0
standardized,SR-p53,HT29,1.0,14,14.0
standardized,SR-p53,HT29,3.162277660168379,31,31.0
standardized,SR-p53,HT29,10.0,20,20.0
standardized,SR-p53,HT29,31.6227766016838,7,7.0
standardized,SR-p53,HT29,100.0,2,2.0
standardized,SR-p53,HT29,3162.277660168379,1,1.0
standardized,SR-p53,HT29,100000000.0,23,23.0
standardized,SR-p53,MCF7,0.3162277660168379,1,1.0
standardized,SR-p53,MCF7,1.0,16,16.0
standardized,SR-p53,MCF7,3.162277660168379,33,33.0
standardized,SR-p53,MCF7,10.0,18,18.0
standardized,SR-p53,MCF7,31.6227766016838,4,4.0
standardized,SR-p53,MCF7,100.0,4,4.0
standardized,SR-p53,MCF7,316.2277660168379,1,1.0
standardized,SR-p53,MCF7,100000000.0,23,23.0
