family,task,cell,variant,n_outer_folds,lambda_selected_display,lambda_mode,one_se_stronger_pct,upper_boundary_pct,saturated_no_bio_signal_pct
NR,NR-ER-LBD,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,99.0,100.0,99.0
NR,NR-ER-LBD,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,97.0,90.0,88.0
NR,NR-PPAR-gamma,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,71.0,100.0,71.0
NR,NR-PPAR-gamma,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,63.0,100.0,63.0
NR,NR-PPAR-gamma,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,71.0,96.0,67.0
NR,NR-PPAR-gamma,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,76.0,100.0,76.0
SR,SR-ARE,HA1E,residualized,100,"1e+8 [23.7, 1e+8]",100000000.0,98.0,72.0,72.0
SR,SR-ARE,HEPG2,residualized,100,"3.16 [1e+0, 1e+1]",3.162277660168379,91.0,10.0,11.0
SR,SR-ARE,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,93.0,80.0,77.0
SR,SR-ARE,MCF7,residualized,100,"1e+8 [1e+1, 1e+8]",100000000.0,97.0,74.0,74.0
SR,SR-ATAD5,HA1E,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,89.0,93.0,83.0
SR,SR-ATAD5,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,97.0,90.0,89.0
SR,SR-ATAD5,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,87.0,84.0,74.0
SR,SR-ATAD5,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,89.0,92.0,83.0
SR,SR-HSE,HA1E,residualized,100,"1e+8 [4.22e+06, 1e+8]",100000000.0,96.0,75.0,74.0
SR,SR-HSE,HEPG2,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,99.0,81.0,82.0
SR,SR-HSE,HT29,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,94.0,91.0,85.0
SR,SR-HSE,MCF7,residualized,100,"1e+8 [1e+8, 1e+8]",100000000.0,99.0,85.0,84.0
SR,SR-MMP,HA1E,residualized,100,"3.16 [1e+0, 1e+1]",1.0,87.0,11.0,11.0
SR,SR-MMP,HEPG2,residualized,100,"1e+0 [1e+0, 3.16]",1.0,87.0,10.0,10.0
SR,SR-MMP,HT29,residualized,100,"1e+0 [0.316, 3.16]",1.0,93.0,5.0,5.0
SR,SR-MMP,MCF7,residualized,100,"0.316 [0.316, 1e+0]",0.3162277660168379,84.0,12.0,12.0
SR,SR-p53,HA1E,residualized,100,"1e+8 [3.16, 1e+8]",100000000.0,96.0,59.0,60.0
SR,SR-p53,HEPG2,residualized,100,"1e+8 [3.16, 1e+8]",100000000.0,95.0,60.0,60.0
SR,SR-p53,HT29,residualized,100,"1.78 [1e+0, 7.5e+03]",1.0,97.0,25.0,26.0
SR,SR-p53,MCF7,residualized,100,"3.16 [1e+0, 1e+8]",100000000.0,98.0,36.0,37.0
NR,NR-AR,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,91.0,96.0,88.0
NR,NR-AR,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,30.0,100.0,30.0
NR,NR-AR,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,63.0,100.0,63.0
NR,NR-AR,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,87.0,99.0,86.0
NR,NR-AR-LBD,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,72.0,100.0,72.0
NR,NR-AR-LBD,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,84.0,99.0,83.0
NR,NR-AR-LBD,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,100.0,98.0,98.0
NR,NR-AR-LBD,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,97.0,77.0,77.0
NR,NR-AhR,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,90.0,95.0,85.0
NR,NR-AhR,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,96.0,89.0,87.0
NR,NR-AhR,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,65.0,98.0,63.0
NR,NR-AhR,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,95.0,97.0,93.0
NR,NR-Aromatase,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,99.0,76.0,77.0
NR,NR-Aromatase,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,96.0,77.0,74.0
NR,NR-Aromatase,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,95.0,85.0,81.0
NR,NR-Aromatase,MCF7,standardized,100,"1e+8 [1e+1, 1e+8]",100000000.0,99.0,65.0,66.0
NR,NR-ER,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,70.0,99.0,69.0
NR,NR-ER,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,55.00000000000001,99.0,54.0
NR,NR-ER,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,83.0,100.0,83.0
NR,NR-ER,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,92.0,97.0,89.0
NR,NR-ER-LBD,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,36.0,99.0,35.0
NR,NR-ER-LBD,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,33.0,100.0,33.0
NR,NR-ER-LBD,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,98.0,100.0,98.0
NR,NR-ER-LBD,MCF7,standardized,100,"1e+8 [1e+0, 1e+8]",100000000.0,98.0,60.0,60.0
NR,NR-PPAR-gamma,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,77.0,100.0,77.0
NR,NR-PPAR-gamma,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,57.99999999999999,100.0,57.99999999999999
NR,NR-PPAR-gamma,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,64.0,97.0,61.0
NR,NR-PPAR-gamma,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,87.0,100.0,87.0
SR,SR-ARE,HA1E,standardized,100,"1e+8 [4.22e+06, 1e+8]",100000000.0,99.0,75.0,75.0
SR,SR-ARE,HEPG2,standardized,100,"1e+1 [3.16, 31.6]",10.0,92.0,10.0,10.0
SR,SR-ARE,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,93.0,76.0,72.0
SR,SR-ARE,MCF7,standardized,100,"1e+8 [1e+1, 1e+8]",100000000.0,93.0,67.0,68.0
SR,SR-ATAD5,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,91.0,92.0,83.0
SR,SR-ATAD5,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,98.0,83.0,82.0
SR,SR-ATAD5,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,87.0,83.0,74.0
SR,SR-ATAD5,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,90.0,86.0,77.0
SR,SR-HSE,HA1E,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,97.0,76.0,74.0
SR,SR-HSE,HEPG2,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,100.0,80.0,80.0
SR,SR-HSE,HT29,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,89.0,94.0,83.0
SR,SR-HSE,MCF7,standardized,100,"1e+8 [1e+8, 1e+8]",100000000.0,96.0,90.0,86.0
SR,SR-MMP,HA1E,standardized,100,"3.16 [3.16, 1e+1]",3.162277660168379,87.0,6.0,6.0
SR,SR-MMP,HEPG2,standardized,100,"1e+1 [3.16, 1e+1]",3.162277660168379,91.0,10.0,12.0
SR,SR-MMP,HT29,standardized,100,"3.16 [3.16, 1e+1]",3.162277660168379,90.0,6.0,6.0
SR,SR-MMP,MCF7,standardized,100,"3.16 [1e+0, 3.16]",1.0,91.0,5.0,5.0
SR,SR-p53,HA1E,standardized,100,"1e+8 [1e+1, 1e+8]",100000000.0,95.0,51.0,51.0
SR,SR-p53,HEPG2,standardized,100,"5.62e+05 [1e+1, 1e+8]",100000000.0,96.0,50.0,51.0
SR,SR-p53,HT29,standardized,100,"1e+1 [3.16, 1e+2]",3.162277660168379,97.0,23.0,24.0
SR,SR-p53,MCF7,standardized,100,"5.62 [3.16, 1e+2]",3.162277660168379,94.0,23.0,24.0
