role,ik,drug_name,compound_name,n_evaluable_endpoints,n_selected_endpoints,sum_selected_delta_p,maximum_selected_delta_p,candidate_rank
Correction,GKTWGGQPFAXNFI,clopidogrel,Clopidogrel,4,1,0.038202525847215,0.038202525847215,108
Correction,MQJKPEGWNLWLTK,dapsone,Dapsone,3,1,0.038001079647099,0.038001079647099,109
Correction,NDAUXUAQIAJITI,salbutamol,Salbutamol,3,1,0.0379610918423676,0.0379610918423676,110
Correction,HCYAFALTSJYZDH,desipramine,Desipramine,3,1,0.0375670586361216,0.0375670586361216,111
Correction,VVWYOYDLCMFIEM,propantheline,Propantheline,3,1,0.0374609881216917,0.0374609881216917,112
Correction,NDDAHWYSQHTHNT,indapamide,Indapamide,3,1,0.0374030891455598,0.0374030891455598,113
Correction,UNFWWIHTNXNPBV,spectinomycin,Spectinomycin,3,1,0.0372711833232857,0.0372711833232857,114
Correction,OZWKMVRBQXNZKK,ketorolac,Ketorolac,4,1,0.0370127305940456,0.0370127305940456,115
Correction,XXPANQJNYNUNES,nomifensine,Nomifensine,3,1,0.0368937432089012,0.0368937432089012,116
Correction,KEEYRKYKLYARHO,ormetoprim,Ormetoprim,3,1,0.0366195385951689,0.0366195385951689,117
Correction,ZZVUWRFHKOJYTH,diphenhydramine,Diphenhydramine,3,1,0.0365337212848522,0.0365337212848522,118
Correction,YMTINGFKWWXKFG,fenofibrate,Fenofibrate,3,1,0.0363726943419961,0.0363726943419961,119
Correction,JBKPUQTUERUYQE,BRD-K10016611,BRD-K10016611,3,1,0.0360752150481823,0.0360752150481823,120
Correction,SKPLBLUECSEIFO,chlorphensin,Chlorphensin,3,1,0.036052081614921,0.036052081614921,121
Correction,BPZSYCZIITTYBL,formoterol,Formoterol,3,1,0.0359447034252391,0.0359447034252391,122
Correction,WDZVGELJXXEGPV,guanabenz,Guanabenz,1,1,0.0358792932215941,0.0358792932215941,123
Correction,OGHNVEJMJSYVRP,carvedilol,Carvedilol,3,1,0.0358636540102399,0.0358636540102399,124
Correction,DERZBLKQOCDDDZ,cinnarizine,Cinnarizine,3,1,0.0354968470548587,0.0354968470548587,125
Correction,WHBHBVVOGNECLV,reichstein,Reichstein,3,1,0.0353915760586113,0.0353915760586113,126
Correction,CXOFVDLJLONNDW,phenytoin,Phenytoin,3,1,0.0353123705540686,0.0353123705540686,127
Correction,ICKFFNBDFNZJSX,chloropyramine,Chloropyramine,3,1,0.035238693650646,0.035238693650646,128
Correction,OJFSXZCBGQGRNV,carbinoxamine,Carbinoxamine,3,1,0.0352176341912913,0.0352176341912913,129
Correction,GXFAIFRPOKBQRV,viomycin,Viomycin,3,1,0.034899645499631,0.034899645499631,130
Correction,FZSPJBYOKQPKCD,alaproclate,Alaproclate,3,1,0.0343824957796334,0.0343824957796334,131
Correction,WBPYTXDJUQJLPQ,tylosin,Tylosin,3,1,0.0335903769204382,0.0335903769204382,132
Correction,PYZRQGJRPPTADH,lamotrigine,Lamotrigine,3,1,0.0334790883525114,0.0334790883525114,133
Correction,CJXAEXPPLWQRFR,clemizole,Clemizole,3,1,0.0334068912653089,0.0334068912653089,134
Correction,SPTMROWPYQRZSX,isoxicam,Isoxicam,3,1,0.0333275559555771,0.0333275559555771,135
Correction,AXKPFOAXAHJUAG,pipamperone,Pipamperone,1,1,0.0333159956132754,0.0333159956132754,136
Correction,YSXKPIUOCJLQIE,biperiden,Biperiden,4,1,0.0332528909725149,0.0332528909725149,137
Correction,SJYFDORQYYEJLB,SDZ-21009,SDZ-21009,4,1,0.0330241722364978,0.0330241722364978,138
Correction,GMVPRGQOIOIIMI,BRD-K48099440,BRD-K48099440,3,1,0.0329880435729397,0.0329880435729397,139
Correction,XBHBWNFJWIASRO,sarafloxacin,Sarafloxacin,2,1,0.0329299256838288,0.0329299256838288,140
Correction,VDCRFBBZFHHYGT,RWJ-21757,RWJ-21757,4,1,0.032908289036532,0.032908289036532,141
Correction,CBPJQFCAFFNICX,NPC-15199,NPC-15199,2,1,0.0328692752690183,0.0328692752690183,142
Correction,MEZLKOACVSPNER,selegiline,Selegiline,3,1,0.0328454769688126,0.0328454769688126,143
Correction,IOVGROKTTNBUGK,ritodrine,Ritodrine,3,1,0.0327296323434311,0.0327296323434311,144
Correction,DPWPWRLQFGFJFI,pargyline,Pargyline,4,1,0.032597021914265,0.032597021914265,145
Correction,FSVJFNAIGNNGKK,praziquantel,Praziquantel,4,1,0.0325087514607459,0.0325087514607459,146
Correction,HSHNITRMYYLLCV,hymecromone,Hymecromone,2,1,0.0324098189563101,0.0324098189563101,147
Correction,XZNUGFQTQHRASN,apramycin,Apramycin,3,1,0.0323048022376942,0.0323048022376942,148
Correction,BNRNXUUZRGQAQC,sildenafil,Sildenafil,3,1,0.0321365707796989,0.0321365707796989,149
Correction,OEBPANQZQGQPHF,nifekalant,Nifekalant,2,1,0.0319415472132999,0.0319415472132999,150
Correction,QAIPRVGONGVQAS,caffeic-acid,Caffeic Acid,3,1,0.031873065208441,0.031873065208441,151
Correction,SNPPWIUOZRMYNY,bupropion,Bupropion,4,1,0.0314495648858676,0.0314495648858676,152
Correction,FDMBBCOBEAVDAO,amyleine,Amyleine,3,1,0.0311153435686227,0.0311153435686227,153
Correction,INJOMKTZOLKMBF,guanfacine,Guanfacine,4,1,0.0310843782445751,0.0310843782445751,154
Correction,WJAJPNHVVFWKKL,methoxamine,Methoxamine,3,1,0.0310751158636139,0.0310751158636139,155
Correction,AGOYDEPGAOXOCK,BRD-K49668410,BRD-K49668410,3,1,0.0309947115029388,0.0309947115029388,156
Correction,OCJYIGYOJCODJL,meclizine,Meclizine,3,1,0.0309140947602685,0.0309140947602685,157
Correction,SQVIAVUSQAWMKL,etilefrine,Etilefrine,3,1,0.0305194320222383,0.0305194320222383,158
Correction,DCSUBABJRXZOMT,cisapride,Cisapride,3,1,0.030466135325197,0.030466135325197,159
Correction,JYJTVFIEFKZWCJ,nadifloxacin,Nadifloxacin,2,1,0.0303873648479759,0.0303873648479759,160
Correction,RLFWWDJHLFCNIJ,ampyrone,Ampyrone,3,1,0.030352655854078,0.030352655854078,161
Correction,MVFGUOIZUNYYSO,prilocaine,Prilocaine,3,1,0.0302541209130043,0.0302541209130043,162
Correction,ANGKOCUUWGHLCE,glycopyrrolate,Glycopyrrolate,4,1,0.0302102671233622,0.0302102671233622,163
Correction,REZGGXNDEMKIQB,zaprinast,Zaprinast,3,1,0.0301813784560217,0.0301813784560217,164
Correction,IEDVJHCEMCRBQM,trimethoprim,Trimethoprim,3,1,0.0301768807816814,0.0301768807816814,165
Correction,ZZIALNLLNHEQPJ,coumestrol,Coumestrol,1,1,0.0300299737900879,0.0300299737900879,166
Correction,CJCSPKMFHVPWAR,methyldopa,Methyldopa,3,1,0.0299450312855911,0.0299450312855911,167
Correction,MFYSYFVPBJMHGN,cortisone,Cortisone,4,1,0.0297617291072035,0.0297617291072035,168
Correction,JNMRHUJNCSQMMB,sulfathiazole,Sulfathiazole,3,1,0.0296984737868554,0.0296984737868554,169
Correction,AQHHHDLHHXJYJD,BRD-K13994703,BRD-K13994703,3,1,0.029559940285293,0.029559940285293,170
Correction,AGMMTXLNIQSRCG,quinethazone,Quinethazone,2,1,0.029433244188659,0.029433244188659,171
Correction,YSGASDXSLKIKOD,remacemide,Remacemide,3,1,0.0294159271747646,0.0294159271747646,172
Correction,QJQORSLQNXDVGE,SB-206553,SB-206553,1,1,0.0292940395608183,0.0292940395608183,173
Correction,MROJXXOCABQVEF,actarit,Actarit,3,1,0.0290791428133147,0.0290791428133147,174
Correction,UDMBCSSLTHHNCD,BRD-K85767870,BRD-K85767870,2,1,0.0289684382672823,0.0289684382672823,175
Correction,JWZZKOKVBUJMES,levisoprenaline,Levisoprenaline,3,1,0.0288628699302414,0.0288628699302414,176
Correction,NHUHCSRWZMLRLA,sulfafurazole,Sulfafurazole,4,1,0.0288154590970924,0.0288154590970924,177
Correction,CBQGYUDMJHNJBX,reboxetine,Reboxetine,3,1,0.0288090052328784,0.0288090052328784,178
Correction,ULSDMUVEXKOYBU,zolmitriptan,Zolmitriptan,1,1,0.0286895600641161,0.0286895600641161,179
Correction,KYGZCKSPAKDVKC,oxolinic-acid,Oxolinic Acid,3,1,0.0284919715331285,0.0284919715331285,180
Correction,JVGBTTIJPBFLTE,spiroxatrine,Spiroxatrine,3,1,0.0283465185579662,0.0283465185579662,181
Correction,CMWTZPSULFXXJA,naproxen,Naproxen,4,1,0.0283323024397604,0.0283323024397604,182
Correction,RZVAJINKPMORJF,paracetamol,Paracetamol,3,1,0.0279180933281023,0.0279180933281023,183
Correction,ZAHQBPYQBHTECE,meloxicam,Meloxicam,3,1,0.0278377049043395,0.0278377049043395,184
Correction,XQZXYNRDCRIARQ,iopamidol,Iopamidol,2,1,0.0277047460967096,0.0277047460967096,185
Correction,KNHUKKLJHYUCFP,clofibrate,Clofibrate,4,1,0.0275762906875354,0.0275762906875354,186
Correction,JIVPVXMEBJLZRO,chlortalidone,Chlortalidone,3,1,0.0274730517448378,0.0274730517448378,187
Correction,ZJVFLBOZORBYFE,ibudilast,Ibudilast,4,1,0.0273566785034331,0.0273566785034331,188
Correction,ANZXOIAKUNOVQU,bambuterol,Bambuterol,3,1,0.0272366366082913,0.0272366366082913,189
Correction,CGIGDMFJXJATDK,indometacin,Indometacin,3,1,0.0271402430629229,0.0271402430629229,190
Correction,MWLSOWXNZPKENC,zileuton,Zileuton,3,1,0.0271119998987412,0.0271119998987412,191
Correction,SGOOQMRIPALTEL,roquinimex,Roquinimex,4,1,0.0269306821205894,0.0269306821205894,192
Correction,VYFYYTLLBUKUHU,dopamine,Dopamine,3,1,0.0267509317288129,0.0267509317288129,193
Correction,VQHUQHAPWMNBLP,mifobate,Mifobate,3,1,0.0267160017159413,0.0267160017159413,194
Correction,ZEMIJUDPLILVNQ,pivampicillin,Pivampicillin,3,1,0.0266691984362685,0.0266691984362685,195
Correction,YFGHCGITMMYXAQ,armodafinil,Armodafinil,4,1,0.026540223675926,0.026540223675926,196
Correction,ZAFYATHCZYHLPB,zolpidem,Zolpidem,2,1,0.0265116750313668,0.0265116750313668,197
Correction,HLFSDGLLUJUHTE,levamisole,Levamisole,3,1,0.0264953723473684,0.0264953723473684,198
Correction,ZZUFCTLCJUWOSV,furosemide,Furosemide,3,1,0.0264887167668389,0.0264887167668389,199
Correction,ACWBQPMHZXGDFX,valsartan,Valsartan,3,1,0.0263677973468809,0.0263677973468809,200
Correction,HPJKCIUCZWXJDR,letrozole,Letrozole,2,1,0.0261971789951095,0.0261971789951095,201
Correction,IWVRVEIKCBFZNF,pirlindole,Pirlindole,2,1,0.0261307298817278,0.0261307298817278,202
Correction,VYVKHNNGDFVQGA,mebeverine,Mebeverine,4,1,0.0259642534738432,0.0259642534738432,203
