Family,Tox21 endpoint,Cell line,Compounds,Delta log loss (D1-C1) +/- repeat SD,Log-loss NB 95% CI,Log-loss P,Log-loss BH q,Delta AUPRC (D1-C1) +/- repeat SD,AUPRC NB 95% CI,AUPRC P,AUPRC BH q
SR,SR-HSE,HA1E,814,-0.2546 ± 0.0049,"[-0.2954, -0.2138]",7.78e-22,9.33e-21,-0.0062 ± 0.0217,"[-0.0625, +0.0500]",0.8262,0.9991
SR,SR-HSE,HepG2,547,-0.2699 ± 0.0082,"[-0.3162, -0.2236]",4.26e-20,5.11e-19,-0.0007 ± 0.0186,"[-0.0506, +0.0493]",0.9785,0.9785
SR,SR-HSE,HT29,806,-0.2482 ± 0.0087,"[-0.2984, -0.1980]",2.85e-16,1.14e-15,-0.0023 ± 0.0076,"[-0.0197, +0.0150]",0.7906,0.9999
SR,SR-HSE,MCF7,1077,-0.2551 ± 0.0073,"[-0.2969, -0.2134]",2.73e-21,1.09e-20,-0.0059 ± 0.0165,"[-0.0472, +0.0353]",0.7761,0.8655
SR,SR-MMP,HA1E,723,-0.0898 ± 0.0093,"[-0.1198, -0.0598]",4.28e-08,6.42e-08,+0.0115 ± 0.0172,"[-0.0213, +0.0443]",0.4895,0.9991
SR,SR-MMP,HepG2,495,-0.0638 ± 0.0099,"[-0.0993, -0.0282]",5.73e-04,6.87e-04,+0.0059 ± 0.0105,"[-0.0206, +0.0324]",0.6594,0.9559
SR,SR-MMP,HT29,717,-0.0987 ± 0.0104,"[-0.1352, -0.0622]",5.21e-07,6.95e-07,+0.0164 ± 0.0179,"[-0.0353, +0.0681]",0.5306,0.9999
SR,SR-MMP,MCF7,958,-0.1080 ± 0.0076,"[-0.1407, -0.0752]",2.62e-09,3.93e-09,+0.0189 ± 0.0167,"[-0.0273, +0.0650]",0.4191,0.8655
SR,SR-p53,HA1E,884,-0.1676 ± 0.0074,"[-0.2037, -0.1315]",5.67e-15,1.36e-14,+0.0195 ± 0.0221,"[-0.0422, +0.0812]",0.5328,0.9991
SR,SR-p53,HepG2,603,-0.1617 ± 0.0098,"[-0.2121, -0.1113]",6.08e-09,1.46e-08,+0.0391 ± 0.0253,"[-0.0285, +0.1067]",0.2538,0.9559
SR,SR-p53,HT29,877,-0.1731 ± 0.0090,"[-0.2072, -0.1390]",7.87e-17,4.72e-16,+0.0508 ± 0.0437,"[-0.0394, +0.1409]",0.2668,0.9999
SR,SR-p53,MCF7,1158,-0.1854 ± 0.0079,"[-0.2194, -0.1514]",1.87e-18,4.48e-18,+0.0439 ± 0.0289,"[-0.0316, +0.1194]",0.2513,0.8655
