task,cell,variant,solver,n_repeats,outer_folds_per_repeat,n_paired_outer_draws,n_failed_outer_draws,n_unique_compounds,n_test_evaluations,mean_delta_auprc,sd_delta_auprc,mean_delta_auroc,sd_delta_auroc,n_alpha_boundary_hits,n_folds_saturated_no_bio_signal,nb_auprc_n,nb_auprc_mean,nb_auprc_naive_se,nb_auprc_corrected_se,nb_auprc_correction_factor,nb_auprc_mean_test_train_ratio,nb_auprc_t_stat,nb_auprc_p_value,nb_auprc_df,nb_auprc_ci_low,nb_auprc_ci_high,nb_auprc_significant_nb,nb_auprc_empirical_variance,nb_auprc_variance_degenerate,nb_auprc_inference_valid,nb_auroc_n,nb_auroc_mean,nb_auroc_naive_se,nb_auroc_corrected_se,nb_auroc_correction_factor,nb_auroc_mean_test_train_ratio,nb_auroc_t_stat,nb_auroc_p_value,nb_auroc_df,nb_auroc_ci_low,nb_auroc_ci_high,nb_auroc_significant_nb,nb_auroc_empirical_variance,nb_auroc_variance_degenerate,nb_auroc_inference_valid,nb_log_loss_n,nb_log_loss_mean,nb_log_loss_naive_se,nb_log_loss_corrected_se,nb_log_loss_correction_factor,nb_log_loss_mean_test_train_ratio,nb_log_loss_t_stat,nb_log_loss_p_value,nb_log_loss_df,nb_log_loss_ci_low,nb_log_loss_ci_high,nb_log_loss_significant_nb,nb_log_loss_empirical_variance,nb_log_loss_variance_degenerate,nb_log_loss_inference_valid
SR-MMP,HT29,standardized,lbfgs,20,5,100,0,430,8600,0.006692966488329193,0.02623100556826428,0.004081200439079672,0.011001137878170971,69,70,100,0.006692966488329193,0.002623100556826428,0.013619730561487851,0.2695920944836814,0.25959209448368137,0.49141695264183244,0.6242193034490335,99,-0.020331533766755873,0.033717466743414255,False,0.0006880656531223117,False,True,100,0.004081200439079672,0.001100113787817097,0.005712039265156592,0.2695920944836814,0.25959209448368137,0.7144909636694853,0.47660499562106196,99,-0.007252724698527238,0.015415125576686582,False,0.00012102503461452808,False,True,100,-0.0021728468414942276,0.0008715649126745708,0.00452536188389053,0.2695920944836814,0.25959209448368137,-0.4801487477121265,0.6321808393053515,99,-0.011152146603221084,0.006806452920232629,False,7.596253970054322e-05,False,True
SR-p53,HT29,standardized,lbfgs,20,5,100,0,533,10660,0.025808012384759427,0.05378486748693985,0.022362026270671645,0.037909639675745004,56,57,100,0.025808012384759427,0.005378486748693985,0.027781940380874958,0.2668117455175252,0.25681174551752517,0.9289492393600276,0.3551748662293306,99,-0.029317384664776253,0.08093340943429511,False,0.0028928119705876796,False,True,100,0.022362026270671645,0.0037909639675745006,0.01958177826853883,0.2668117455175252,0.25681174551752517,1.1419813851431315,0.2562162925278682,99,-0.016492470110447445,0.061216522651790735,False,0.00143714078034482,False,True,100,-0.004959432267240982,0.0008598864073942508,0.0044416420492906636,0.2668117455175252,0.25681174551752517,-1.1165763049350206,0.2668782018146081,99,-0.01377261371397728,0.003853749179495317,False,7.394046336213914e-05,False,True
NR-AR,MCF7,standardized,lbfgs,20,5,100,0,1243,24860,0.0,0.0,0.0,0.0,100,73,100,0.0,0.0,0.0,0.2698943090712041,0.2598943090712041,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.2698943090712041,0.2598943090712041,,,99,,,False,0.0,True,False,100,-6.330169527446472e-11,2.0356871252044722e-11,1.0575670067771431e-10,0.2698943090712041,0.2598943090712041,,,99,,,False,4.144022071723248e-20,True,False
NR-AR-LBD,MCF7,standardized,lbfgs,20,5,100,0,1129,22580,0.0024409502421121622,0.01600165415952111,0.0007167592814843304,0.003661643787871652,92,86,100,0.0024409502421121622,0.001600165415952111,0.008316633001984737,0.27012533272679756,0.26012533272679755,0.29350221917086367,0.7697526947826024,99,-0.014061053939902498,0.018942954424126822,False,0.00025605293584091924,False,True,100,0.0007167592814843304,0.0003661643787871652,0.001903087472341494,0.27012533272679756,0.26012533272679755,0.3766297093020397,0.7072548238436193,99,-0.003059379141339473,0.004492897704308134,False,1.340763522925906e-05,False,True,100,-0.00032508075544677946,0.00016689058053772615,0.0008673901435337504,0.27012533272679756,0.26012533272679755,-0.3747803198712858,0.7086254937556699,99,-0.002046170981817996,0.0013960094709244374,False,2.785246587221926e-06,False,True
NR-AhR,MCF7,standardized,lbfgs,20,5,100,0,1099,21980,-0.0002968526761102203,0.007440270171034593,0.00044150209344867683,0.003318381669329913,89,88,100,-0.0002968526761102203,0.0007440270171034592,0.0038737943822479775,0.2710789021790365,0.2610789021790365,-0.07663098420261417,0.9390717628980816,99,-0.007983301156025763,0.007389595803805322,False,5.5357620217987136e-05,False,True,100,0.00044150209344867683,0.0003318381669329913,0.0017277233182807113,0.2710789021790365,0.2610789021790365,0.2555398128723664,0.7988363652881157,99,-0.002986675802200742,0.003869679989098095,False,1.101165690334478e-05,False,True,100,-0.0001901427074858103,0.00014368553663780378,0.0007481021681238386,0.2710789021790365,0.2610789021790365,-0.2541667643641084,0.7998938830682292,99,-0.0016745397109375294,0.0012942542959659088,False,2.0645533438893655e-06,False,True
NR-Aromatase,MCF7,standardized,lbfgs,20,5,100,0,1012,20240,0.12770755489833183,0.09789558005031622,0.06084628828320527,0.0450537151302453,2,2,100,0.12770755489833183,0.009789558005031621,0.051107672370195374,0.2725499056895261,0.2625499056895261,2.498794192255319,0.014107616139799845,99,0.026298845029238224,0.22911626476742541,True,0.009583544593387871,False,True,100,0.06084628828320527,0.00450537151302453,0.02352088327944131,0.2725499056895261,0.2625499056895261,2.5869049032010056,0.011138069692850725,99,0.014175752965680688,0.10751682360072985,True,0.0020298372470372943,False,True,100,-0.028461834578853682,0.001757208244007752,0.009173736258041042,0.2725499056895261,0.2625499056895261,-3.102534646546664,0.0025006317427105126,99,-0.04666451757072855,-0.010259151586978817,True,0.00030877808128088074,False,True
NR-ER,MCF7,standardized,lbfgs,20,5,100,0,1054,21080,-0.0002637346023913864,0.011441111565647574,5.068059080428622e-05,0.00467701949260493,90,82,100,-0.0002637346023913864,0.0011441111565647574,0.005967318168898049,0.27203322346595576,0.26203322346595576,-0.04419650417937892,0.964836791097829,99,-0.012104188468164648,0.011576719263381875,False,0.0001308990338575947,False,True,100,5.068059080428622e-05,0.00046770194926049296,0.002439383903772994,0.27203322346595576,0.26203322346595576,0.02077597983896613,0.9834661750906373,99,-0.004789586302299514,0.004890947483908087,False,2.1874511334206474e-05,False,True,100,-0.000330284942290025,0.00018460795776490356,0.0009628561125138549,0.27203322346595576,0.26203322346595576,-0.3430262715243161,0.7323060152589191,99,-0.0022408003626037676,0.0015802304780237174,False,3.4080098070128414e-06,False,True
NR-ER-LBD,MCF7,standardized,lbfgs,20,5,100,0,1178,23560,0.031941594426584036,0.060147517908981867,-0.007299599213334222,0.0393639899031626,53,50,100,0.031941594426584036,0.006014751790898187,0.03119050662080555,0.2689115386635822,0.2589115386635822,1.0240806542487346,0.3082930291307993,99,-0.029947137536562134,0.09383032638973021,False,0.0036177239106112945,False,True,100,-0.007299599213334222,0.00393639899031626,0.020412858757594222,0.2689115386635822,0.2589115386635822,-0.3575980855997714,0.7214053476117481,99,-0.04780313958890515,0.033203941162236704,False,0.0015495237010962873,False,True,100,-0.0034638720876500315,0.0007297432611357516,0.0037842063661523047,0.2689115386635822,0.2589115386635822,-0.9153496803537219,0.36223228393858364,99,-0.010972558507376507,0.004044814332076445,False,5.325252271730418e-05,False,True
NR-PPAR-gamma,MCF7,standardized,lbfgs,20,5,100,0,1060,21200,0.0,0.0,0.0,0.0,100,60,100,0.0,0.0,0.0,0.27425243056363763,0.2642524305636376,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.27425243056363763,0.2642524305636376,,,99,,,False,0.0,True,False,100,-1.4358817329584994e-11,6.7718326762508556e-12,3.54634890632862e-11,0.27425243056363763,0.2642524305636376,,,99,,,False,4.585771779513882e-21,True,False
SR-ARE,MCF7,standardized,lbfgs,20,5,100,0,913,18260,0.014057208312315684,0.03314511897102354,0.015853482462838395,0.01993930811043718,36,36,100,0.014057208312315684,0.0033145118971023542,0.017351587989925223,0.2740559840285314,0.26405598402853137,0.8101395860988435,0.4198030513699914,99,-0.020372106712888416,0.04848652333751978,False,0.0010985989116033047,False,True,100,0.015853482462838395,0.001993930811043718,0.01043829890726732,0.2740559840285314,0.26405598402853137,1.5187802728853579,0.1320049822591354,99,-0.004858367173875982,0.036565332099552775,False,0.00039757600792294595,False,True,100,-0.007859130652475581,0.0010483353377805965,0.0054880728810629675,0.2740559840285314,0.26405598402853137,-1.4320383170555437,0.1552826251042048,99,-0.018748657894195817,0.0030303965892446542,False,0.00010990069804395574,False,True
