ik,NR-AR_chem_logit,NR-AR-LBD_chem_logit,NR-AhR_chem_logit,NR-Aromatase_chem_logit,NR-ER_chem_logit,NR-ER-LBD_chem_logit,NR-PPAR-gamma_chem_logit,SR-ARE_chem_logit,SR-ATAD5_chem_logit,SR-HSE_chem_logit,SR-MMP_chem_logit,SR-p53_chem_logit
ALWKGYPQUAPLQC,-1.3886036570565132,-2.212656429100482,0.16090009994856763,-1.1841562047318455,-0.6104612580014694,-2.265156072857981,-2.217486930167257,-0.6129638718826449,-1.0523877130750316,-0.5583501693733423,-1.0907582910190727,-0.9172946831052792
AMDBBAQNWSUWGN,-1.0427885162098527,-2.27118298093696,-1.4838860677793972,-1.5874150589212057,-1.1020405356605176,-1.5660931782970209,-3.2557270497952127,-0.5223110072361363,-0.4668085883413859,-0.7137337889625361,-1.9926445616774018,-0.5110074299579799
ANGKOCUUWGHLCE,-0.6432107899593252,-1.4355073201308395,-1.856814385138718,-1.4331647408388752,-0.7111941134060845,-2.19217571150866,-2.335986892830828,-0.7158841263712301,-2.200119137638932,-0.6185802685965192,-1.4801255505880357,-0.9919037133186142
ANMLJLFWUCQGKZ,-1.278019888710855,-2.0887527116676368,0.43100596832553245,-0.5102360103777693,-0.15801575890935704,-1.6030121457622606,-2.0360908689118844,-0.33809978711147176,-1.0405575975462344,-0.532702798789281,-0.4114820676850035,-0.8649066011629569
ANTSCNMPPGJYLG,-1.0969854384118674,-2.2234437774942992,0.3706543284612165,-1.1992512640830564,-0.4006904791978331,-2.4368129432852976,-2.965777351796529,0.4044767992731712,-1.5292719817019227,-0.5715661124859911,-0.24758829485153913,-0.40683483558959926
ANZXOIAKUNOVQU,-1.394465780915128,-2.292833745069636,-1.3935993546539314,-1.2315010358528113,-1.130495831148465,-2.531858234096989,-2.3782898367621836,-0.848445296764972,-1.2619909124696134,-0.6121148191585157,-1.548512618749253,-0.6649241071743466
AOCCBINRVIKJHY,-1.3191416131659346,-2.232313188088012,-2.1807667955590215,-1.3112180446873802,-1.8188891284403463,-2.14950510845181,-2.9363943742995193,-1.1169495460704306,-1.9682220720099424,-0.7055323886271245,-1.824287413815551,-0.9835295550968051
AOXRBFRFYPMWLR,1.226329196125865,1.6614524608954648,-2.160866426457236,-1.140891501090313,1.4328487252368567,1.7035979914156316,-2.8671956351918513,0.4738331065077631,-2.3168890271763196,-0.1155804884310733,0.5173938407769204,-1.1795850445633425
APGDTXUMTIZLCJ,1.9977406271049982,2.151203854994686,-3.1557137652533878,-1.4054577749726114,0.12666069146401596,0.01009309591714249,-3.618093157770626,-0.7580531791878036,-1.725005306595549,-0.6857058921763561,-1.9601003115018691,-0.9531120128704195
APKFDSVGJQXUKY,-0.6933732970780211,-1.9243145384081024,-3.8476551467267153,-1.218706945155465,-0.7332677478454809,-1.6480605751753936,-2.104582032367583,-0.5070305727015199,-0.2676378979581897,-0.6664138918820325,-0.09984276479652754,-0.3594055539510781
AQCHWTWZEMGIFD,-1.1308409524946519,-2.2585745740313405,0.27192029011249697,-1.552996002732873,-1.3680023843123426,-2.712250483027783,-3.318124252801403,0.12837454548746935,-1.291462761749877,-0.6107019563222107,-0.6700970916372248,-0.4798652694288553
AQHHHDLHHXJYJD,-1.557096943387971,-2.145713051877208,0.14212364243277328,-0.6320821810008368,-0.7433043015815258,-2.1465376090207555,-1.1259883268828057,-0.7758793272032041,-1.1092328570267944,-0.5504233374843828,-0.5606809001903599,-0.28714406669216813
AQIXAKUUQRKLND,-1.5875689981874297,-2.235011830592963,-1.7195494720009423,-0.748800139418965,-1.5738132734833479,-2.729911473216736,-3.315926156193887,-0.8013201201110857,-1.949548051156007,-0.7194603393519354,-1.9991349617675516,-1.3953313340101832
AQNDDEOPVVGCPG,-1.27338922101215,-2.396964556249583,-1.5890648229521802,-1.411686156521331,-1.2200717714930587,-2.170626165518339,-2.6128786525801706,-1.1078331603570797,-1.410465182392339,-0.6614653874998604,-1.9771921250001017,-1.004057716867786
ARFHIAQFJWUCFH,-1.1675424816691506,-2.1171530677727293,-1.2294173049315409,-0.9971236088744276,-0.3857385152016801,-0.029522399675138457,-1.3804156660890436,0.11230972872235256,-0.22138539569026228,-0.6180658718226262,-0.9257906528454478,-0.550481172854369
ARSRBNBHOADGJU,-1.4782216723425436,-1.646780608583219,0.7930148557763224,-0.9656167965293907,1.0143660987236078,-1.1361655217565438,-1.2582800384428259,0.7271182101257737,-0.805621737706769,0.5141672982211003,2.829815671151146,0.6740319321595052
ASUTZQLVASHGKV,-0.1441519343986257,-2.208897793678079,-1.4661132950490612,-1.348682425467872,-1.3340695389298074,-1.8403545463897397,-3.004075944855495,-0.07610329282509258,-1.4491991045230355,-0.54656105962144,-1.8778418179724976,-0.5889862977383081
ASWVTGNCAZCNNR,-1.482028926328949,-2.3913991417630363,-0.1338046890709118,-1.4589344783473472,-1.6099390041575286,-2.9838882086659564,-2.9656794598502514,-0.48241571397215344,-2.013560267707375,-0.7157425979330383,-1.6461260604519827,-1.2754382403259032
ATCGGEJZONJOCL,-1.3788644548767794,-2.2290717008622574,1.5630130538624032,-0.35810611634012324,-0.2998196534702724,-1.7303691909882561,-1.6620487113538318,0.3014962830698098,-0.8367782218244865,-0.595303261803901,-1.1401569880021238,-0.7784462544326279
AUNGANRZJHBGPY,-0.9039774917324668,-1.9351434932922207,-1.3511476796435957,-1.1725204221650334,-0.9159195905026029,-2.006896323122921,-1.7408541488493703,-0.9515062543749248,-1.042739216225558,-0.7595888539692978,-2.0699241515598987,-0.6666623958779562
AUVVAXYIELKVAI,-0.928224626018886,-1.99732815183593,-0.9296505648945201,-1.1649226211678863,-0.9228665090111104,-2.6651411871948314,-3.752143678267326,0.18508389840931566,-2.140700519472339,-0.5107271474257902,-0.5428240768474927,-0.42480814561876723
AUYYCJSJGJYCDS,-1.073966987229255,-1.9968687226219863,-0.47117968247549635,-0.9774891159246236,-0.15535960311304456,-1.4390714587401805,-1.7138433874610872,1.1016565888453116,-1.1877926454743495,-0.50865692129548,0.6770139457005333,-0.5520556737595478
AUZONCFQVSMFAP,-1.040993554637863,-1.9879866215808764,-1.4580019653701455,-1.0820473256215193,-1.3774441179107293,-2.7492717524117585,-2.7995806505082332,0.18417882123950588,-0.05241391056757715,0.3157082609732186,-0.4494755525546372,-0.2787024504926326
AVKUERGKIZMTKX,-1.182107890924291,-2.31737363349742,-2.4156185994717254,-1.6306196867131098,-1.061724330074177,-2.494745360046906,-2.609565913011811,-0.7846654529659272,-1.9792434421199279,-0.771340017291687,-2.1809666365018217,-0.7721324138616009
AVOLMBLBETYQHX,-1.2477800801120669,-1.9183191197970018,-0.6379424930283464,-0.8228020623860498,-1.1739017177211342,0.07140717385632353,-1.217010758284513,0.3801189140128288,-0.8934048813690681,-0.4940987040057033,-0.609934537680949,-0.6966631585637031
AXKPFOAXAHJUAG,-1.064859458526398,-1.9432478301634326,-2.5512347761703684,-1.3337304660506117,-0.8758559337972609,-2.246956055563111,-2.855649144012934,-0.41255105353181026,-1.89999891647277,-0.6833325636180052,-2.421577787961544,-1.0921892819968897
AXRCEOKUDYDWLF,-0.5986788208145968,-1.1369901739118033,0.23690429612947148,-1.1041498786672017,-0.9131267363679474,-2.172774703478285,-3.198121790068544,0.5947628355675559,-1.1445837050682786,-0.49866146260386335,-0.37854103943730727,0.4178334754004323
AYIRNRDRBQJXIF,-1.0868333530397802,-2.0798415219105193,-2.4966604853352394,-1.5181064094467616,-1.3133796448973654,-2.604172431918777,-2.937047139984285,-0.10319634449639449,-0.792343813434415,-0.5461474922403826,-1.1414157924856314,-0.7142537578049228
AZFBLLCNOQPJGJ,-0.5419101539923359,-1.8892532484417202,-1.548773524580274,-0.5179301393077054,-0.622378853852106,-1.1321390792265806,-1.196998712867426,0.12003984133064381,-0.1756545285437825,-0.6137880948862019,0.5842512709761456,0.32976740310057007
AZSNMRSAGSSBNP,-0.24733403666773593,-0.05333801166003809,-2.7454358500204723,-0.4615577265380665,-0.6098349778206207,-0.7976767541368583,-1.029612032809783,-0.02724334702052486,0.36727315351257084,-0.5476633388009363,0.6984643735652366,0.48074586144832215
BAFKRPOFIYPKBQ,-1.1690281458345428,-2.0126561020617344,0.6004928184488125,-0.3274249159429924,-0.2916923531472314,-1.5416728548415821,-2.2904823136280545,1.0974834568128145,-0.5229043508679928,-0.4404193245061876,1.2391431929397554,-0.18308048431417379
BAMTVATUENLIOP,0.09546983039645647,-1.2426606554105422,-1.868444177716449,-0.7762042298471141,-0.7102608699709961,-1.7090395573993216,-3.004737824379078,-0.39443645835863117,-0.9110832429810405,-0.7636766417367076,-1.0359531405433475,-0.6042230739394009
BAQCROVBDNBEEB,-1.0460093205226666,-2.2808067447826255,-1.7271391529088096,-1.6045809670154023,-0.8594617504084836,-1.7787674485977296,-3.1362755302057828,-0.25891604336193047,-0.5048193957970989,-0.6002700957868954,-1.4914953079011255,-0.18522731376301432
BAWFJGJZGIEFAR,-1.0214377375305712,-2.1517563689485204,-0.5908216402995388,-1.1295528756904036,-0.3568476439270021,-2.310053709483102,-2.3544184966638415,-0.4358847118881319,0.05274220745209987,-0.6964020804232456,-1.9548712101721715,-0.7627770861979544
BBFQZRXNYIEMAW,-1.3560096166972695,-1.6136372911099865,0.49003200037081324,-0.9053261147550917,-1.221655372857094,-0.7070931873152897,-0.8163869498924712,0.47414030725537737,-0.7975963376140172,-0.48736617320313846,0.04567307543033092,-0.3667645636557277
BBMULGJBVDDDNI,-0.6031983273744518,-1.9776302885534351,-2.047734907609134,-0.9045876326154303,-0.7025226227399458,-1.1924867567295507,-1.2019044556745913,-0.2436668250084616,-0.7483522282249353,-0.6291081958298299,0.4238610244064098,-0.25393062680056155
BCEHBSKCWLPMDN,-1.2863641618532056,-2.3238108555801293,-0.358526480226879,0.7990683364459662,-0.9272343374840685,-2.2656629997692272,-1.9429935202121957,-0.340916097131543,-1.7077434927397022,-0.6955511888567937,-0.319746883272752,-0.8416940222616864
BCFGMOOMADDAQU,-1.0505230205290008,-1.8084910455591623,-0.042645958262526845,-1.132078809149006,-0.6059428146231596,-1.2920138207870075,-1.8910223666825097,0.8326170044204778,-0.38390067100867215,-0.48484892494646015,0.5823564184675142,-0.28413472235649373
BCGWQEUPMDMJNV,-1.1870870291090898,-2.2590061590867894,0.31858610103427387,-0.8928989583996337,-1.3379658251880675,-2.68466011420818,-3.4333438785730994,-0.14833382213308655,-1.6295905409795721,-0.4631770377158566,-0.5266513357042659,-0.6940944340965765
BDNFQGRSKSQXRI,-1.3669001001380607,-2.2437153927990208,-0.7814949362350956,-1.2071260946748166,-0.9696972062888226,-1.9316745135851228,-3.200489210011846,-0.008479526782847186,-1.7662374491217987,-0.4744131711361667,-0.3003202094723556,-0.7997799381698981
BDYYDXJSHYEDGB,-1.3620605187820911,-2.2596803961633345,0.17982766490539528,-1.1208758488304573,-0.4881947381994661,-1.8329112115838193,-1.6841248553725896,0.6263305928629884,0.17919321205623098,-0.366109915548445,0.03248677734036152,0.10148897702875714
BEZZFPOZAYTVHN,-0.739689622010784,-1.920425070970153,1.835790002606878,-0.9511670493335393,-0.480926733564751,-2.405759567575166,-2.3794951818191707,0.8180826047888494,-0.49091478611647943,-0.444625542350628,-0.7119933161684131,-0.28177531733566297
BFCDFTHTSVTWOG,-1.4142414489640194,-2.312577747602312,-1.5349542581947717,-0.6826502709213784,-1.2373042956485332,-2.8252957647705634,-2.737375343005642,0.16820618200202278,-1.7480074011955828,-0.3543334269308552,-0.2124813695807335,-0.5469304332532674
BFPSDSIWYFKGBC,-1.3391835553203957,-2.2018011306821905,0.2775469591638884,-0.3143334707015168,0.6516482514309957,-0.8355091442581655,-1.7025386326854668,1.2352864326567614,-0.7458413065305051,-0.2329658750935313,2.8572744572123243,-0.05704745735296295
BFPYWIDHMRZLRN,1.022411609869231,-0.4311520422143002,-0.33697049556452335,-1.2147686262588122,1.418710430337903,2.0071248282007432,-2.4931557279329066,0.4537215589814646,-1.1654831785901805,-0.44416376376799904,0.5564735166069691,-0.4037254239747315
BFUJHVVEMMWLHC,-1.4645610626379426,-2.3099427474202434,-0.2043645767204343,-1.2876141267869659,-1.1598496388731987,-1.7453096683908642,-2.778833924621836,-0.23946375472954495,-1.3358191612369568,-0.6496980698248457,-1.307622916543025,-0.8542404221124295
BFYIZQONLCFLEV,1.435611918655025,1.0669680134895805,-1.8041433928655866,-1.218527813145013,0.9950057427347652,0.4726887913275777,-2.5687427721124734,0.5528158057987708,-2.073166052749864,-0.5358120873896686,-1.1338254040751652,-0.6624607332969349
BGDKAVGWHJFAGW,-1.3855020941981873,-2.400785771409856,-0.6740365721562595,-0.4796638968231014,-1.2961148774000786,-2.7879795255060307,-3.3016378776665607,-1.11951393956824,-1.6848000616837007,-0.6893439735127362,-1.386749027441262,-1.0548599268281766
BGNXCDMCOKJUMV,-1.4588245883215565,-2.3795115009346275,0.2223569999852278,-1.062642223481741,0.1992971635021782,-0.43075895471322145,-2.1875864603688266,-0.19010788689128366,-1.2857757753947385,-0.3303628919363059,0.029702191684442696,-0.6821798051297765
BGRJTUBHPOOWDU,-1.3274866056848027,-2.3623834139479514,-2.170472145984849,-1.7034176931222644,-1.6524568479747328,-2.8375887806883497,-3.2094335921403854,-0.910508968038128,-1.6408097264174648,-0.7167344950189423,-2.27062880326382,-0.9892266181260443
BGSOJVFOEQLVMH,1.7277499306958248,2.072624645458507,-3.1473347547172574,-1.1957557427820533,1.090178184454772,-0.808279815906787,-2.9574343041387676,-0.8095886936947658,-2.3688393096783273,-0.6543174977676971,-2.0798473595087463,-1.0670386209141796
BGSZAXLLHYERSY,0.43532586418654046,-0.6982008130810288,-3.3284862591474362,-1.350583690252203,0.11054963139035152,-0.5162143469066768,-2.8552379066833002,-0.3745454929703531,-1.9188956075063597,-0.6287957726479475,-0.6723333183641259,-1.194736319746011
BGYJFSXPRMOZJK,-1.1638219224632076,-2.232190098755611,-0.03359880636070256,-0.17156998623762318,-0.7307118431318125,-1.459390402236719,-1.7714495393429035,-0.06329717752873727,-0.5318361035765155,-0.5359764980121134,0.5791248582572609,-0.7380393967360156
BHKPHCKISVSDGV,-1.3916075084521133,-2.0391294723365756,1.350480209873784,-0.5248533501073445,0.36338280856843586,-1.8118665141105583,-1.735883327329221,-0.17921355706307385,-0.19325995086896658,-0.17522774434004218,-0.021777041301371817,-0.320145156120414
BHQCQFFYRZLCQQ,1.1137610533026698,-0.27520298507273183,-3.7141303810020805,-1.5439347338528528,0.7016400026264249,-0.8704989052089299,-2.860349197131217,-0.7315949504454675,-2.455135755145627,-0.7552611453180207,-1.5816183299595914,-1.2821171588649367
BIDNLKIUORFRQP,-1.180238901286238,-2.216706228850847,-2.3916170427450125,-1.0062840094975511,-0.5864969657057563,-1.365888119531053,-3.1448476960617175,-0.6827711554952948,-1.9443209800711945,-0.6456297903797313,-0.3658120203837844,-1.0452036176450852
BIIVYFLTOXDAOV,-0.5965117913318687,-1.3127140992849229,-0.46795030200576293,-0.9104205929450915,-0.6072289967522885,-1.442128991378675,-1.029733863438885,0.5817603815332768,-0.4725063171550915,-0.5191343993273995,-0.27090342352349567,0.09321953952596054
BJFIDCADFRDPIO,-1.1202494138275343,-2.1949479149836257,-3.489721331738476,-1.830432287118519,0.059795220730805856,-0.07350918837753725,-1.742309978431452,-0.7126897024204745,-1.032579476337328,-0.8104830415088145,-2.316118711636725,-0.6934533802344586
BJRNKVDFDLYUGJ,-1.2357367417680105,-1.848315275399133,-1.5793600404583867,-1.305221401525897,-0.753070138834865,-2.1526432861090123,-3.2660736282062723,-0.9799670580603159,-1.2603891152334739,-0.5246089746248869,-1.252968213490936,-0.8472408788173262
BKRGVLQUQGGVSM,-1.0515398894642927,-2.1906238462037817,-0.09616947505599402,-0.8085328521798032,-1.1121759332404004,-1.7127621882451418,-2.678216207595255,-0.09279932661051142,-1.954467052119855,-0.6209136634031732,-1.6414439002593224,-0.46719820893338904
BKYKPTRYDKTTJY,-1.2832629301835632,-2.3056249230522865,-1.7199503016609718,-1.6659728742093176,-1.7304202888421591,-2.528142520169997,-2.659202807226404,-0.35630307371079517,-2.103691648450427,-0.6357979919515997,-1.4408387428205087,-0.8218792148278352
BLCLNMBMMGCOAS,-1.171521300791357,-2.1680206973699305,-2.777193879044197,-1.7424514251039849,-1.1929038699655938,-1.8697037966997565,-2.2345979210500135,-0.6915641447386619,-1.2736363767474614,-0.831871532376314,-1.737416844460565,-0.7550903650669756
BLFLLBZGZJTVJG,-1.5071826164668107,-2.442887582768743,0.6937406803475192,-0.6128219329686448,-0.5966920405402415,-1.2810373904990122,-2.7345691823662124,-1.1292294876458335,-1.5851226959858102,-0.5500705413909956,-1.0665306803270975,-1.1756340907236584
BLGXFZZNTVWLAY,-0.48608572150889273,-1.7964510742135507,-1.1241065182857157,-1.1387161737996108,-1.1885301002403725,-1.8395061416899536,-2.808779276897586,-0.21687075320541357,-1.9683475962965462,-0.5790687344075952,-1.0453569029729657,-0.6216043119281047
BLJRIMJGRPQVNF,-1.3433539508179109,-2.3061042340287634,-1.911356819445115,-1.3053866203833833,-1.4217237167269308,-2.772053449118241,-2.3492512301041444,-1.1850495090023923,-0.8008013314125006,-0.5812280013342569,-2.4295693879290607,-0.8498432983553642
BLSQLHNBWJLIBQ,-1.4868133207104406,-2.3255583417662478,0.1622698053078244,0.7137365658595178,-0.7884098721135799,-2.1845015578746163,-2.4373408628820745,0.22871908686553502,-1.310013619343917,-0.5720240556950027,-0.9306299781842697,-0.581163761015469
BLUAFEHZUWYNDE,0.08641808394830273,-1.1953599957288406,-2.32338699593035,-1.1680542854464973,-0.7614589820735183,-1.3825433406297538,-1.3343728220034397,-0.33062752544819474,-1.6818401092580468,-0.5067946312933789,-0.4751169104697696,0.0036157313550350544
BLXXJMDCKKHMKV,-1.2602097264742813,-1.9969813440892723,0.04121211798424265,-0.9254132401051252,0.24651540813787925,-1.4908484068897863,-1.643448560405335,0.19387556874920966,-0.8244919163615503,0.2941252685445693,1.0202986195397385,0.3455795714736507
BMKDZUISNHGIBY,-0.9616901899783348,-2.3596887214169886,-4.0813475615987675,-1.870035409361253,-1.6373654387882657,-2.5338541294983954,-2.723757810686749,-1.9617323845523624,-2.022623479210923,-1.114600162629315,-4.323309396831738,-0.8838816076891465
BMUKKTUHUDJSNZ,-1.3649379568232265,-2.3738209851929186,-0.9302558541724076,-0.8711162297830951,-0.30358598028005207,-2.0701837803640624,-2.921264045049563,-0.26105065921867293,-1.150274052063327,-0.6052212426186057,-0.8407483252915793,-1.0031456335296007
BNQDCRGUHNALGH,-1.2201951212011233,-2.2596580611520283,0.11195709430615812,-1.5194811326045463,-1.3518442247733864,-2.2526023426781374,-2.2866250501387477,-0.7567668144327705,-0.9707158467258856,-0.6237981156008031,-2.2835006868198304,-0.7544040513983993
BNRNXUUZRGQAQC,-0.913037730045515,-2.0384125808570297,-1.4793187220101676,-1.44607611839121,-1.5294403804806156,-2.3181044119181524,-2.0060314726350468,-0.35172353720849736,-1.798202618147161,-0.719671916892179,-1.5364269353451823,-0.8128558763830513
BOBLHFUVNSFZPJ,1.5530854858477758,1.8737018762131827,-1.5421610461012276,-0.8347868135888454,-0.12290195721893785,-1.3487271411396498,-3.200867365381914,-0.06238796525919439,-1.5010231615102554,-0.6449867422829071,-0.12926462348326578,-0.6309854584922683
BOEGTKLJZSQCCD,-1.247976752796543,-2.312608613929995,-2.574894720211343,-1.6257958768217218,-0.9496636203995291,-2.1788834553500043,-2.7446008878966364,-0.24647920767816323,-1.7705075943084159,-0.6826896524258954,-1.6873772843932402,-0.6201922846182916
BOVGTQGAOIONJV,-1.4219914140089032,-2.394777880647244,-2.132711594212065,-1.6874141762473884,-1.7408789086835896,-3.1232772822848123,-3.888911288534449,-0.9090217880994074,-2.5945600946255296,-0.7562368563184779,-2.43223375552495,-1.2648536060192446
BPEGJWRSRHCHSN,-1.384256120098523,-2.344194877508809,-1.180340316081174,-0.9725242133043932,-1.8666034873793493,-2.408792483246328,-2.224557466267961,-1.6451367740208216,-1.6634824914884117,-1.0042252592037122,-3.4005942568692378,-1.368701961609936
BPFYOAJNDMUVBL,-1.0255048156193982,-1.5787052362305556,-0.9778838390229441,-0.6931503209813107,-1.2327780968730133,-1.7150384928975302,-0.5778622383574156,-0.10818895073377598,-1.3636640428252083,-0.6828752324664807,-1.316893301241964,-0.2512955763646722
BPICBUSOMSTKRF,-1.5646672063426694,-2.406279371045181,0.5652009471590382,-1.1955165599563822,-0.6469064215677158,-2.7448050400776394,-2.426600705306755,-0.1612688444116922,-1.5640966246904555,-0.5426260058614472,0.024132513888019163,-1.0699872945088869
