category,model_key,model,family,task,seed,auprc,selected_in_task_k4,k4_selection_rank,n_test,n_positive,source_cache
BERT,ChemBERTa_Pretrained,ChemBERTa,SR,SR-ATAD5,1,0.1797856378292018,True,4.0,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
GNN (D-MPNN),Chemprop,Chemprop,SR,SR-ATAD5,1,0.1879919277925282,True,3.0,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-ATAD5.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,SR,SR-ATAD5,1,0.3407768625635515,,,295,17,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,SR,SR-HSE,1,0.1535728247120805,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,SR,SR-HSE,1,0.1109350539967336,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,SR,SR-HSE,1,0.2259884036886586,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,SR,SR-HSE,1,0.1572563285770519,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,SR,SR-HSE,1,0.1439042383202485,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,SR,SR-HSE,1,0.1540181672808385,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
GNN (MPNN),GCN_Pretrained,GCN,SR,SR-HSE,1,0.3826567350508981,True,2.0,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
GNN (MPNN),GAT_Pretrained,GAT,SR,SR-HSE,1,0.1286428750438787,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
GNN (MPNN),GIN_Pretrained,GIN,SR,SR-HSE,1,0.4560723467673271,True,1.0,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,SR,SR-HSE,1,0.3206088715514318,True,3.0,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,SR,SR-HSE,1,0.203156562412494,False,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
GNN (D-MPNN),Chemprop,Chemprop,SR,SR-HSE,1,0.312704639353232,True,4.0,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-HSE.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,SR,SR-HSE,1,0.4317337456062108,,,259,23,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,SR,SR-MMP,1,0.4732130412659489,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,SR,SR-MMP,1,0.5134789053697743,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,SR,SR-MMP,1,0.5373989203037185,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,SR,SR-MMP,1,0.4735999416150064,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,SR,SR-MMP,1,0.5515909858942347,True,3.0,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,SR,SR-MMP,1,0.4750742684044481,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
GNN (MPNN),GCN_Pretrained,GCN,SR,SR-MMP,1,0.5719377520056399,True,1.0,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
GNN (MPNN),GAT_Pretrained,GAT,SR,SR-MMP,1,0.3507302507996942,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
GNN (MPNN),GIN_Pretrained,GIN,SR,SR-MMP,1,0.5253431997048468,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,SR,SR-MMP,1,0.5444131901285467,True,4.0,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,SR,SR-MMP,1,0.5622909562110147,True,2.0,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
GNN (D-MPNN),Chemprop,Chemprop,SR,SR-MMP,1,0.5332865800349511,False,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-MMP.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,SR,SR-MMP,1,0.6221280618528017,,,230,46,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
Classical ML,MACCS_LR,MACCS + logistic regression,SR,SR-p53,1,0.2922589672203555,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
Classical ML,MACCS_XGB,MACCS + XGBoost,SR,SR-p53,1,0.3393028803404127,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
Classical ML,Morgan_LR,Morgan + logistic regression,SR,SR-p53,1,0.3268915154503917,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
Classical ML,Morgan_XGB,Morgan + XGBoost,SR,SR-p53,1,0.2469312474220084,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
Classical ML,RDKit_LR,RDKit descriptors + logistic regression,SR,SR-p53,1,0.2864492498544744,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
Classical ML,RDKit_XGB,RDKit descriptors + XGBoost,SR,SR-p53,1,0.2917725219360377,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
GNN (MPNN),GCN_Pretrained,GCN,SR,SR-p53,1,0.3895603116192398,True,4.0,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
GNN (MPNN),GAT_Pretrained,GAT,SR,SR-p53,1,0.21112872672345,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
GNN (MPNN),GIN_Pretrained,GIN,SR,SR-p53,1,0.43601606477242,True,1.0,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
GNN (MPNN),GraphSAGE_Pretrained,GraphSAGE,SR,SR-p53,1,0.4306092020404101,True,2.0,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
BERT,ChemBERTa_Pretrained,ChemBERTa,SR,SR-p53,1,0.3007889369370873,False,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
GNN (D-MPNN),Chemprop,Chemprop,SR,SR-p53,1,0.3970786450591669,True,3.0,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/task_benchmark_cache/SR-p53.pkl
Ensemble,K4_TASK_SPECIFIC_MEAN,Task-specific K=4 arithmetic mean,SR,SR-p53,1,0.52657993061877,,,273,37,/data/kyungan/scripts/BioTox/publication/_run_output/chem_offset_valid_tuned_classical/publication_summary/stage1_topk_k4_reference_by_task.csv
