variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,PSRC1,0.00022609724765801722,0.0012803201588655155,100
standardized,NR-AR,HA1E,UBE2A,0.0001253596030003911,0.0006656215146815923,100
standardized,NR-AR,HA1E,COASY,0.0001016007653533068,0.000738655303932291,100
standardized,NR-AR,HA1E,LRRC41,-8.080964715737061e-05,0.0007576130537953781,100
standardized,NR-AR,HA1E,MYCBP2,0.0001614835745264351,0.0009677906262161501,100
standardized,NR-AR,HA1E,RBM6,-0.00010587907067658895,0.0007149599215499573,100
standardized,NR-AR,HA1E,PGM1,0.00022841373547668594,0.001311751649776194,100
standardized,NR-AR,HA1E,MYO10,-0.0002982896711390935,0.001615873809817992,100
standardized,NR-AR,HA1E,RSU1,-5.319285653646505e-05,0.0002935980865550776,100
standardized,NR-AR,HA1E,EGFR,-0.00013278136246289534,0.0007666849631792101,100
standardized,NR-AR,HA1E,KIAA0196,-3.251148134296439e-05,0.00021991116873109042,100
standardized,NR-AR,HA1E,EXT1,9.125500709379763e-05,0.0006067798787851584,100
standardized,NR-AR,HA1E,SPEN,0.00019841253557776893,0.001113459505445573,100
standardized,NR-AR,HA1E,PTPN12,8.524253039437353e-05,0.00044333564171556697,100
standardized,NR-AR,HA1E,TWF2,0.0002484670174054898,0.001468897132213369,100
standardized,NR-AR,HA1E,TJP1,3.7662687945716635e-05,0.0004098047052050317,100
standardized,NR-AR,HA1E,MEST,-0.00015075542107748414,0.0008918681589097849,100
standardized,NR-AR,HA1E,ALDOC,8.595681608881991e-05,0.0007191165927587157,100
standardized,NR-AR,HA1E,KDM5A,2.3641373997567403e-06,0.0003507516080088583,100
standardized,NR-AR,HA1E,RAI14,-7.272284988660486e-05,0.001012907325325142,100
standardized,NR-AR,HA1E,BIRC2,-0.00022835539392328773,0.0013339589703016156,100
standardized,NR-AR,HA1E,CTSL,-6.166186563629405e-05,0.0005138296067172081,100
standardized,NR-AR,HA1E,PAF1,-2.813808079112551e-05,0.0002220621506316181,100
standardized,NR-AR,HA1E,BIRC5,-4.4658465981232636e-05,0.0004311707827386648,100
