variant,task,cell,n_compounds,n_genes,n_outer_fits,n_heldout_evaluations,n_rescued,n_corrected,max_probability_reconstruction_error,max_logit_reconstruction_error,max_calibration_score_error,all_outer_scaffolds_disjoint
standardized,SR-ATAD5,HT29,903,978,100,18060,0,0,8.881784197001252e-15,5.417888360170764e-14,1.3690657038439202e-14,True
standardized,SR-HSE,HT29,806,978,100,16120,0,0,3.552713678800501e-15,2.0872192862952943e-14,3.571585955590173e-14,True
standardized,SR-MMP,HT29,717,978,100,14340,34,85,9.325873406851315e-15,5.062616992290714e-14,6.087985648624033e-14,True
standardized,SR-p53,HT29,877,978,100,17540,10,7,7.105427357601002e-15,3.466671394392051e-14,5.4384024165741606e-14,True
standardized,NR-AR,MCF7,1259,978,100,25180,0,0,1.887379141862766e-15,1.509903313490213e-14,4.0157194675691263e-14,True
standardized,NR-AR-LBD,MCF7,1145,978,100,22900,0,0,4.107825191113079e-15,3.730349362740526e-14,1.5703612812362563e-14,True
standardized,NR-AhR,MCF7,1111,978,100,22220,0,0,1.3322676295501878e-15,1.021405182655144e-14,4.665531712038894e-14,True
standardized,NR-Aromatase,MCF7,1021,978,100,20420,0,0,6.994405055138486e-15,2.842170943040401e-14,4.294667602574386e-14,True
standardized,NR-ER,MCF7,1067,978,100,21340,0,0,4.385380947269368e-15,1.9984014443252818e-14,6.862321755418411e-14,True
standardized,NR-ER-LBD,MCF7,1194,978,100,23880,0,0,2.525757381022231e-15,2.0095036745715333e-14,3.849657606435045e-14,True
standardized,NR-PPAR-gamma,MCF7,1073,978,100,21460,0,0,1.3877787807814457e-16,1.7763568394002505e-15,2.2144928412812464e-14,True
standardized,SR-ARE,MCF7,923,978,100,18460,0,0,4.9960036108132044e-15,1.9789725413943415e-14,6.612917205866976e-14,True
standardized,SR-ATAD5,MCF7,1196,978,100,23920,0,0,4.052314039881821e-15,2.1316282072803006e-14,4.343492164438419e-15,True
standardized,SR-HSE,MCF7,1077,978,100,21540,0,0,2.1094237467877974e-15,2.886579864025407e-14,4.4074953549093524e-14,True
standardized,SR-MMP,MCF7,958,978,100,19160,53,77,5.662137425588298e-15,2.4980018054066022e-14,5.961195347726224e-14,True
standardized,SR-p53,MCF7,1158,978,100,23160,13,1,8.1601392309949e-15,3.375077994860476e-14,5.0781527049156134e-14,True
