task,cell,repeat_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_compounds,n_positive,n_negative
NR-AR,HA1E,15,17042,17042,aa2cde4dadfc8ee2d81459786a6bd400e9a07264ea3a353d6270b142619d307d,830,59,771
NR-AR,HA1E,16,18042,18042,78a89e88845baeea788884d4e27881b4ea0e0e11aae2db596ad99b0a465c3a33,830,59,771
NR-AR,HA1E,17,19042,19042,535e065d1e3a3c8a3e52addc5d7d52737a99ca79051bf60f2a64e928a78c84ec,830,59,771
NR-AR,HA1E,18,20042,20042,7a9300d6326edbf747691d5e75eb7adc4ceeaa163bb3f9d5966cb18ecae65487,830,59,771
NR-AR,HA1E,19,21042,21042,1a893c96c7f0d4ea3f75877488cc47fb2e767ed204971b89ae2c414fdf8d772e,830,59,771
NR-AR-LBD,HA1E,0,2042,2042,097d908afb744d0065d1fa2752ee84d34208203736abfaac2a74a2ff22326d38,747,39,708
NR-AR-LBD,HA1E,1,3042,3043,8fb5e160ce9d35c46e9d9b1fbb0169ec2517883dd5b975ea11934db55108faef,747,39,708
NR-AR-LBD,HA1E,2,4042,4042,02ef52924f419074b052b91bf04c2a8fba0e5f34df7b1eb28a125d2645c64538,747,39,708
NR-AR-LBD,HA1E,3,5042,5042,aa3eed91f3419903e53b78159def8413b4ac05668369154f7aad62ce68135740,747,39,708
NR-AR-LBD,HA1E,4,6042,6042,1325f7c4c5216949bc799bb5a29786cc1fa52f024fd2696ed9d7bbd32ebb64f9,747,39,708
NR-AR-LBD,HA1E,5,7042,7042,73f99f083b59b3639f3249cd56a770cad79c6c8fa335976fb385b6ce47ea7493,747,39,708
NR-AR-LBD,HA1E,6,8042,8042,74fde7a601d3338d0410c6742bd7b6218cdc95c52ec72cebb8f97b36081421de,747,39,708
NR-AR-LBD,HA1E,7,9042,9042,15862662f05a597c005640bbb567fb2c4870db55e17063c81ae9d3742b564a10,747,39,708
NR-AR-LBD,HA1E,8,10042,10042,a3fadbc1f89b06b2cc96101c2e6fa422c8f73821838aa4c51a9e220b209356bf,747,39,708
NR-AR-LBD,HA1E,9,11042,11042,316d1ec165fc907eaf0abdd11f996c982bcf78be739b602b52f13033c9a58c3d,747,39,708
NR-AR-LBD,HA1E,10,12042,12042,9ea529d39d172f8b37fd419b8bfa13e2661a838775c7a9016540250f8e1d9bca,747,39,708
NR-AR-LBD,HA1E,11,13042,13043,4d4caf4ddeea0388c3c158835af10ca3b7cde909d23ec2f3da3ecf489fb5c866,747,39,708
NR-AR-LBD,HA1E,12,14042,14042,6ac32224bd9654085ef0c109214527306fb82b2a26a7d15a71381ef13749189b,747,39,708
NR-AR-LBD,HA1E,13,15042,15043,27e86b3b203bb77c898dac06c3b9f9f4a96f950531bc5a1d59d8de0e1fa82bfb,747,39,708
NR-AR-LBD,HA1E,14,16042,16042,c840f641745cc6796cdde93f94c4d5afc87d1ab6070d3efc07d25af2187208b3,747,39,708
NR-AR-LBD,HA1E,15,17042,17043,c653c337345b7ce1e54745a679fcbc9f5a244d408c1376ff1d5d115b6a3078ea,747,39,708
NR-AR-LBD,HA1E,16,18042,18042,4aafbdb4e7a0acaa85c574c9bcbe3aa2e3e07c431ba2280d4200ad68335f73e6,747,39,708
NR-AR-LBD,HA1E,17,19042,19042,75b07e3e62048fbd32d49c977e2a2b8f06c65fe3e06d90729ca1945d1ecee634,747,39,708
NR-AR-LBD,HA1E,18,20042,20042,c774abee876484f9e936c212823e611661439ce58853b72d968433ecb2806109,747,39,708
NR-AR-LBD,HA1E,19,21042,21043,828937ded65be86a1e80de50bc7972e26485fbe4c322a83d203cf4e626064e75,747,39,708
NR-AhR,HA1E,0,2042,2042,cae50c5ed18775c33c66d4b56a09c0806eabfd13ea88e4050c51b1d3b37cb1ea,727,91,636
NR-AhR,HA1E,1,3042,3042,1dcd934a180aabcb0b0b8f7d776b053242f7191fb0d60d0128217981423e20d8,727,91,636
NR-AhR,HA1E,2,4042,4042,8e575ee8d45653b6c96e71e9fabba010166974344f22effacffd6ce3dd47fe35,727,91,636
NR-AhR,HA1E,3,5042,5042,4c8bf5daefe3f0842a3ce3a67719154bac38dbf1ad39e954eb2f4113970ea75c,727,91,636
NR-AhR,HA1E,4,6042,6042,70863c9a65aa0e036485984b34f95f4563eb3ead7f7dcfa7d803be96e5a4cd44,727,91,636
NR-AhR,HA1E,5,7042,7042,345c52032a337086549b4e9a6c7ea8078afff9a30949108e32105f4a9a6bd10a,727,91,636
NR-AhR,HA1E,6,8042,8042,6056e942894ad99a29ad7bafda0bbab297f48b40b5d95f4156e134364b8c1463,727,91,636
NR-AhR,HA1E,7,9042,9042,88225b7ace572a4e202d9c6627e2eea4820f404891ee73e6dd79171c6fdf9bc7,727,91,636
NR-AhR,HA1E,8,10042,10042,5cc779e11c4c25c7845dd6cea97a923ead428cdf929cc3228090551b38908200,727,91,636
NR-AhR,HA1E,9,11042,11042,3a7df6629d63e5b3d44eb3efaa7c87f9709e836510a600ef94c0c3481d80140d,727,91,636
NR-AhR,HA1E,10,12042,12042,63e292c8789eada1787335b3c775d5d564e92aad0e52fa844e5b06adf9e98baa,727,91,636
NR-AhR,HA1E,11,13042,13042,5073d14b676874492a0610613c35b0877c503cd7828bb29a187fad0d9550dc8f,727,91,636
NR-AhR,HA1E,12,14042,14042,0021d552951ef267683091a5839c02cbda8a771a4eb50e22932276fd5fa2040c,727,91,636
NR-AhR,HA1E,13,15042,15042,8c0f4020a040a201015d1d6de174af014d410cdb656c0394add106e552e3c1ae,727,91,636
NR-AhR,HA1E,14,16042,16042,9c2c5f5064b2209dee7eb447315057381c3842b2f86f62560469f1071754ea20,727,91,636
NR-AhR,HA1E,15,17042,17042,9f69924549fc7ce748809b585fdf23d99f2065047e99f50ecb97ff04b1a2a7fd,727,91,636
NR-AhR,HA1E,16,18042,18042,8cf5b94583dcc3491d0ddd3f21838627abeb9edfd0b09a7a19950bdaa5c80c8b,727,91,636
NR-AhR,HA1E,17,19042,19042,7dd3509619d06d77a1837ef0c7df0c48728135f9cafc9c7d443208670e78180e,727,91,636
NR-AhR,HA1E,18,20042,20042,776c738c3a72d6e728c145802e36fb61c2c463ddaf56a246da6b4c2d29d3a217,727,91,636
NR-AhR,HA1E,19,21042,21042,6bfb73c59a390685bbdb703187940981a624081feb551bc109d8d2ea38fd0484,727,91,636
NR-Aromatase,HA1E,0,2042,2042,097573bc44947d7b4e4220dca98ff57bc6510af9b4af4a054651dc43318d87f1,655,57,598
NR-Aromatase,HA1E,1,3042,3042,cef9ed36767d1b358a0e873a544f6752544a28f291a2da7f958e36fab383db96,655,57,598
NR-Aromatase,HA1E,2,4042,4042,4bcd5cffd9c165c2d54b8b410d27e738c390254e9d50ef3bc69e12b6fe1cfda6,655,57,598
NR-Aromatase,HA1E,3,5042,5042,79471a8c23c6a30507eab98a6b27d99bb6679f54c4b7bdf2e4db0c761a70b815,655,57,598
NR-Aromatase,HA1E,4,6042,6042,bd0aa05c6d17d92441e1c50391d8929e47fb776b949f8070a63114af7fce8200,655,57,598
NR-Aromatase,HA1E,5,7042,7042,bdbd2c63690ae0c6fdde6c6e83921d6feed6abff71960fa4674baf9fb18e592c,655,57,598
NR-Aromatase,HA1E,6,8042,8042,784a12016a5bc0eaaeaff62ead340da127ca123250710a161a4e142df0ece830,655,57,598
NR-Aromatase,HA1E,7,9042,9042,32ce403698c889e1608aa8b58f418932a1a63d767a9661e0b5fa3dcd911999f0,655,57,598
NR-Aromatase,HA1E,8,10042,10042,97a25ce8b537189e6175725e9fc7fe16aefc156e53040c51fa24b65f812ec703,655,57,598
NR-Aromatase,HA1E,9,11042,11042,099bfc6eb1d1e1c84c1455afa0ce8f9882790b98a8f69817d32678303fb04977,655,57,598
NR-Aromatase,HA1E,10,12042,12042,1d471d47c11ca75fda591037a66995b68fb55d4443bb8c7e5e14448e56994485,655,57,598
NR-Aromatase,HA1E,11,13042,13042,b032aa66a28bfb0c50321c74fa8993d8d2cb6c852cf05c32855c027ec33537b4,655,57,598
NR-Aromatase,HA1E,12,14042,14042,037d7fc20747d80d02d834f0d23197b883a62a5843c4dc973c40f4be027b3763,655,57,598
NR-Aromatase,HA1E,13,15042,15042,3c3ff01f856137b84d3615d6fe72258a2af110403c4f9c036b95b9079981c80e,655,57,598
NR-Aromatase,HA1E,14,16042,16042,d0f0ea204c3ae6574cf91c90931fc8f9c6330307579e318c5068c80f4e83c0f1,655,57,598
NR-Aromatase,HA1E,15,17042,17042,865c40f57122f94693c22b727af414db052aa3a4b6ea2a74623c20fdbb10e9f2,655,57,598
NR-Aromatase,HA1E,16,18042,18042,ce85621a9006a1b22ac073072d5e4b91e33bd0153c5c9ddae633b1e8cef1ff12,655,57,598
NR-Aromatase,HA1E,17,19042,19042,1000550e013a719599d9453f9459dad5b639f99521a78b4d633462ba64fd4b61,655,57,598
NR-Aromatase,HA1E,18,20042,20042,b7ad43e053fff59c7519f87d7a867f5e4b23f1b3ab9e1917be27fa39f6152972,655,57,598
NR-Aromatase,HA1E,19,21042,21042,39254e7a8d222cb13668bc2407b7b524349ff81849ee31137607add9d8ba8543,655,57,598
NR-ER,HA1E,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,689,112,577
NR-ER,HA1E,1,3042,3042,c00d674df74478783bf8851011326481bc371b189d3cd36d2a9e0231188cbe2a,689,112,577
NR-ER,HA1E,2,4042,4042,a49e2e4e9beebbd24951dd1f1539c771f738fb062f4fcfd6dd310fed2a0e20d4,689,112,577
NR-ER,HA1E,3,5042,5042,c9dcf98127e1894c1c8392c0bfc0b87b7759698ea1f4d486e0a671db432ec0a4,689,112,577
NR-ER,HA1E,4,6042,6042,b2e196f61891b3c4629cc7422fbcc9c7e65e5db5240314531044ef6ec8679738,689,112,577
NR-ER,HA1E,5,7042,7042,1d83495a8f48da6fe92168c60e8416ff46f7fa6354c2b74bfa3fbb460264d1c7,689,112,577
NR-ER,HA1E,6,8042,8042,9e4dc61c7fa97e77390947899a8a5bc6c5600488e70e80605428f52ecc93de8d,689,112,577
NR-ER,HA1E,7,9042,9042,0cc13158c5f92df49ea5acacfdc99b292694efee6536ce298436c0a3f76ac244,689,112,577
NR-ER,HA1E,8,10042,10042,ede2e9c0454d5f7b6bb96c44667a8afb59188ea580831d12cb81392291f8f909,689,112,577
NR-ER,HA1E,9,11042,11042,476512687c9df848fe783f72cf13fce8f19d1231af23a8b481b6c798c250d7e6,689,112,577
NR-ER,HA1E,10,12042,12042,20ad1577488537d051f886dbce0ee42ad27260e0cf7fbe6ccbd7fe2c9f1475f0,689,112,577
NR-ER,HA1E,11,13042,13042,54e124051199d2b68b6dcf2b8eb5645f80b98020f215db7e4bf9f02cbd6a1fc5,689,112,577
NR-ER,HA1E,12,14042,14042,5d7e3b8391074b615c00c5e78b82289140588015e2c4f71c39c32f3e9d45a731,689,112,577
NR-ER,HA1E,13,15042,15042,22d3769bb58d5c25a95bc76508cb33c88775beee67d2069a3bae8629b0a7b97b,689,112,577
NR-ER,HA1E,14,16042,16042,b536340b0202a77fbdbc79c39c85c72249d74cf1892aa601607a8706215c894c,689,112,577
NR-ER,HA1E,15,17042,17042,412604da5cf24c4eddc4c9e10c15e50a776e887dfe00a46cda35f3d9502810e6,689,112,577
NR-ER,HA1E,16,18042,18042,2b4c71e3ef1fcb6080a1dc5e54b943c5c0b0610a25cfff8dabd25f3b61f5833c,689,112,577
NR-ER,HA1E,17,19042,19042,9aa11405d1a37dd1115750d7d3c2a683f059f140e5d03506874b28288fe8dfd0,689,112,577
NR-ER,HA1E,18,20042,20042,4e773d5a888fa8c326362d468d1644cfd6483568cc4b420238acfc4cd2526c1b,689,112,577
NR-ER,HA1E,19,21042,21042,c2c3ee8bcb9bb7dd3f31e8f493b47cfabb0ea6fac5514e6278ba7235c51bc500,689,112,577
NR-ER-LBD,HA1E,0,2042,2043,eaa1c728f7bce957d98b9e80869a1b3c077ef71bff148d6869927c88ffa836e8,772,40,732
NR-ER-LBD,HA1E,1,3042,3042,944de1d4720cbea971baa670ffd6e990af19f29884592d8eda44d159cbc85e8a,772,40,732
NR-ER-LBD,HA1E,2,4042,4042,84178976c41465db0cdcb712343b8bfefd607dfdb337c175bd3985ee909b1fd2,772,40,732
NR-ER-LBD,HA1E,3,5042,5042,4b6678c2c8e2b62be2a367757570ff6079cc018346934d140ec67f424b663cc8,772,40,732
NR-ER-LBD,HA1E,4,6042,6042,4e0f5fefb2771030a5367c71705af0fc4d2c2914bdad1ca34298f0875d2f9d7d,772,40,732
NR-ER-LBD,HA1E,5,7042,7042,31bb1a79e634e51b0881c1130a12f20dbc09cb7e7fb7db613951e79862edbe4a,772,40,732
NR-ER-LBD,HA1E,6,8042,8042,e38b982c0b5a05e2baeacfdca8db646744aa98183f1f9dd734d72a78b771fec9,772,40,732
NR-ER-LBD,HA1E,7,9042,9043,15678777167576d8ed4de1be357ce76304afeabe44ae06fab0260eafc2c97250,772,40,732
NR-ER-LBD,HA1E,8,10042,10042,995a3c86fbb140a8f41991e209fbe2c9908d84d99392447243ff449890e972f0,772,40,732
NR-ER-LBD,HA1E,9,11042,11042,7adc748e1bfcab4e11e995e53e64b436afd071554622bd8b506876ecbf258bf0,772,40,732
NR-ER-LBD,HA1E,10,12042,12042,18781253b18f8e5e64d533bfdb66b405e28986d2a3da422fea2d40583528227c,772,40,732
NR-ER-LBD,HA1E,11,13042,13042,087cd42dbe6b63a49dbbf0f9d89f587ab9d8bac3a62964094776c35a30664803,772,40,732
NR-ER-LBD,HA1E,12,14042,14042,23de608a1d73dbac8d81fb9262f4c5fc6384542b55ade85217054efd06e18855,772,40,732
NR-ER-LBD,HA1E,13,15042,15042,50d57150d64cc4bacfc58223e685fd8417ddb8a38516871285966245a607bf2e,772,40,732
NR-ER-LBD,HA1E,14,16042,16042,faded06f83b03f883fee5a2e7f559ac9390b704fef8dce1d0348e3c7f217359d,772,40,732
NR-ER-LBD,HA1E,15,17042,17042,f8ecdaf84e77b22d8eb9abc08cb60c485885f9f6a1f2cf4cb710ecd7c3205c09,772,40,732
NR-ER-LBD,HA1E,16,18042,18042,0928684c61de45ee0ed1b22cbcf1c7df5223c8570b3e5a96f4ea2032538981f3,772,40,732
NR-ER-LBD,HA1E,17,19042,19042,10ab01f9005b3499bc5f76391743ff65feedf716a0ac7347a6e77be0406c2f5e,772,40,732
NR-ER-LBD,HA1E,18,20042,20042,5cf31e6e6e62e650377137a413c415203263dc03834a3ed274a1e0e94d936b2a,772,40,732
NR-ER-LBD,HA1E,19,21042,21042,160f3f8ffa1b7b859d3a01fb38c4a25c0233b54740fa0552bb349f5b6da536d6,772,40,732
NR-PPAR-gamma,HA1E,0,2042,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d,696,29,667
NR-PPAR-gamma,HA1E,1,3042,3043,a927a8b20bfd8d0de297c7f95e09c336cf11248d0b5ad657138b9c4743c1ccb8,696,29,667
NR-PPAR-gamma,HA1E,2,4042,4042,2a5774cdbd9c2a42a030b543220cbd07dbf71a30a677bf279e5116b15a074953,696,29,667
NR-PPAR-gamma,HA1E,3,5042,5042,3d7757d03a35f2bf941974992d356bc5401920588ccfad5fda0579db1ae973b4,696,29,667
NR-PPAR-gamma,HA1E,4,6042,6046,285691a75b389d2c9cfc923d344801da09d66be7fb9bc5c6ed5d2330a0956c26,696,29,667
NR-PPAR-gamma,HA1E,5,7042,7042,2bdae74b7bce31926dd49c682b40767c2428da6abaf7eec203dc0db66a3a615b,696,29,667
NR-PPAR-gamma,HA1E,6,8042,8042,7710a54d98ba6779d815a904920d0bb2fbed60eba72dd13f7ae93808622e0697,696,29,667
NR-PPAR-gamma,HA1E,7,9042,9042,8f8a9332c132bc984c74299e0f0705fd5fb1bce49745f01bf80dd2bd551e5e9c,696,29,667
NR-PPAR-gamma,HA1E,8,10042,10042,3dfa2d3f8dfc34893cbf203f8b4982169a520dcb249738dd43716bae0cce2c8d,696,29,667
NR-PPAR-gamma,HA1E,9,11042,11047,b6982eda4f45a5e8dac50a01a01991c7dc0187aaf2084809acabd3a30aa8ad56,696,29,667
NR-PPAR-gamma,HA1E,10,12042,12042,13bf26af2fe352a6d8e5de802ad2877b1613dc4cb6d36178fe7bea6ae5746797,696,29,667
NR-PPAR-gamma,HA1E,11,13042,13042,a16bffdde666544d0a3571dbbe466bb5b8057a1ee09143f9b939640428673325,696,29,667
NR-PPAR-gamma,HA1E,12,14042,14042,6b120d427b481cb92de67349e6ca595719dfd4ea6673935aba8e3f9dacf1916f,696,29,667
NR-PPAR-gamma,HA1E,13,15042,15042,a6c7ff467275791100f85635f71fc1a71ac9562f18b6b6efa0e38c8360a9110e,696,29,667
NR-PPAR-gamma,HA1E,14,16042,16042,feabcf36745e42c635d9d854b96750cb264f91980f8ef077ceafc895187d1fb8,696,29,667
NR-PPAR-gamma,HA1E,15,17042,17042,0b4d150dcad5047c56d3afe91ba0444322eb17c4cb17305d2ffeca7a07a986df,696,29,667
NR-PPAR-gamma,HA1E,16,18042,18043,98970227b6e371d805976b8f0fb3661362148c259bc80088e0114579134d0aba,696,29,667
NR-PPAR-gamma,HA1E,17,19042,19042,3978b802ea6943dd389ca725c9ba63b0f0ca577080fb76734c71ccf2f28e6741,696,29,667
NR-PPAR-gamma,HA1E,18,20042,20042,1525ba47cfeeedcc79a461d53ccd02e7defed9c3019ebaef947fa2ba8ebc4750,696,29,667
NR-PPAR-gamma,HA1E,19,21042,21043,84c1de3191fc1cc95a61daed05982ac7d3ae195bb0ee26e2fa3a754dc0b32fb4,696,29,667
SR-ARE,HA1E,0,2042,2042,a41eb39fc2b655d1f873f00f6529f7cc12b3ade61e202aeafe0506b182e37c88,584,118,466
SR-ARE,HA1E,1,3042,3042,cc8036f193524e5a74a5f44b38694ccf6a109611c94cf823ef0cb0ddca2440c4,584,118,466
SR-ARE,HA1E,2,4042,4042,db644a006b13fc77fae0c51dbd0521a38adeb237cdb5d0a1bcff072069c5e683,584,118,466
SR-ARE,HA1E,3,5042,5042,33846aa9772677836cdadfa7d9cc61813afd2383f5870d69c096e414899d1c60,584,118,466
SR-ARE,HA1E,4,6042,6042,8462a73b09165ca48a4b8e2cd75e1b4bc7f6228071bbd804ac05b6164d80d5a2,584,118,466
SR-ARE,HA1E,5,7042,7042,745992fc58deeaec402abcb7adf8b7fb4d945dd6d1045445fbfb0c7da558b213,584,118,466
SR-ARE,HA1E,6,8042,8042,0ba873d5b52bc51ef7ecf80450c04639278af977f76f2981b818b86a93ba6179,584,118,466
SR-ARE,HA1E,7,9042,9042,82e0fc4040cdf85a9a09dbcb32b0f8e80ab774a2bfcd1e57a4cc1ef24ad795cf,584,118,466
SR-ARE,HA1E,8,10042,10042,e6517aa394a9687cbebe082283d77b0cc4834f495f11eb8b968e6cde156f87d3,584,118,466
SR-ARE,HA1E,9,11042,11042,c055564800b5bb447cd599d6edeb9017e74407cc9fb1dc252fc550a66ba9f48b,584,118,466
SR-ARE,HA1E,10,12042,12042,3d0b402937ec075a32dba4c886623e9085d09236128f4934898735132a0ba9b9,584,118,466
SR-ARE,HA1E,11,13042,13042,745057dab4e5d2db77fc24fcac351ec707d85ac3626bd6da59a70df444cbd09d,584,118,466
SR-ARE,HA1E,12,14042,14042,69364e35290097d732266f43c02e2cf2c42f21e0a306914d6b438230bb22431f,584,118,466
SR-ARE,HA1E,13,15042,15042,e8d02801a624450b6543202a33715420dc0ca09bd22e36234b156fd02ff5f728,584,118,466
SR-ARE,HA1E,14,16042,16042,19b7adf3688e3f9ee03402f1f053dde20b874ccb33bd40a0a630e19add2c685f,584,118,466
SR-ARE,HA1E,15,17042,17042,0a7b8853064cdcc830ede5ae3b2a01cfec820d56c1ca6e10a08c21be0c07f4ca,584,118,466
SR-ARE,HA1E,16,18042,18042,16149a377ae6801b57ca89fb5023aded5b00693aa09261d3d10db530e262a46a,584,118,466
SR-ARE,HA1E,17,19042,19042,69263c748471e1a28574fbb6c668af7342c766b8f66caeadeea5d73215e29a34,584,118,466
SR-ARE,HA1E,18,20042,20042,d5033a38ae01276ea217c7c0153834d1ae6116daff852b8a92dc12c35bed47b8,584,118,466
SR-ARE,HA1E,19,21042,21042,f7a08a4986b006fee1ead95a6e60eaaa4718ce941a050e2454930d695a70a66b,584,118,466
SR-ATAD5,HA1E,0,2042,2042,fa35b8cfa0fa8100d83718ce1b05f5a1f101f1c4cf1a716439868ec106bb1298,778,43,735
SR-ATAD5,HA1E,1,3042,3042,9285208259b8a8ede2f63a90f0cac90924e0ff3b99ed6b3b77b4b4749b09d88b,778,43,735
SR-ATAD5,HA1E,2,4042,4042,0b12ee296676fc19b131bc4f5029defc262345bc28d6e6494db9fc5e975e3a94,778,43,735
SR-ATAD5,HA1E,3,5042,5042,4bc0716d703583409acddfdfbf31bb2353316c418a6a62ffa99b72e712da8925,778,43,735
SR-ATAD5,HA1E,4,6042,6042,aebd3d444d1bf3a6c4ffc5d8a6ddf701d331ea85f0f9152b4ed3f4cc2b721083,778,43,735
SR-ATAD5,HA1E,5,7042,7042,9fcf82e8692d35187591dfc0eccff132cf5b3c74b5c9322e2008bf78fc4bbe3f,778,43,735
SR-ATAD5,HA1E,6,8042,8042,da7c3b22ee201d93ae8ee0b94d4aa9b160796af4a6bc140d006d7a43b16a02dc,778,43,735
SR-ATAD5,HA1E,7,9042,9042,f8a65ec8a2eb499d7a5cb644977fc3017f48bc00d7ad13308454094fd31150a6,778,43,735
SR-ATAD5,HA1E,8,10042,10042,d14dc220b6133a7223a7ff0b2c5d357823bb0377e94ee80ee408eb208a6704c8,778,43,735
SR-ATAD5,HA1E,9,11042,11042,b1b8d74ab6eaa89e2452c77288041e5dc0ddc6895969d613f63e9d0a566dba25,778,43,735
SR-ATAD5,HA1E,10,12042,12042,2f83c69c162705d23ca089d337c8e9a10be670138e26141738f52a4132daf708,778,43,735
SR-ATAD5,HA1E,11,13042,13042,db02f4c127920fdfcd0f69478fdf4d925a6f7b80e117b69544c5e424a1b197f6,778,43,735
SR-ATAD5,HA1E,12,14042,14042,6f7ac65fcfa9b51739e96ce2bd025ce272a776d756e7e293069d315d5ecc4f8f,778,43,735
SR-ATAD5,HA1E,13,15042,15042,c0d6b3bbd4c89e950e3e97864798e61029a46dbfb1ed7aacff4ca1ea0cce8629,778,43,735
SR-ATAD5,HA1E,14,16042,16042,0ed84a952d1abe90e397cbbcffbf676495da0e0fa80ab2230de33a1261f79bad,778,43,735
SR-ATAD5,HA1E,15,17042,17042,f344cf5615b11c3fe73426988b67b4d3f826ecdaf3ad1ce5b7400a4aac27dbf6,778,43,735
SR-ATAD5,HA1E,16,18042,18042,64e414ecbeabe3a32c629ce855e3873bea1c309de9d841c9edca8e20e94db35a,778,43,735
SR-ATAD5,HA1E,17,19042,19042,d30e143be8b81c10b59e9ee8481bbb34b7d1f1303169d4d83e329c126f284c4c,778,43,735
SR-ATAD5,HA1E,18,20042,20042,da8288340ef03bf69a192637943c629b51d2eb34909be00af032a6ee7ba986c1,778,43,735
SR-ATAD5,HA1E,19,21042,21042,6e1716059c9a2059c3ea68521d3b718fa060fd00c81dbc606948fd5d65ae6874,778,43,735
SR-HSE,HA1E,0,2042,2042,aefaed69cee142bf4f7d7f9c2f5e2fbbbc84cdbf697438b91fcfaef1e96b99c5,697,43,654
SR-HSE,HA1E,1,3042,3043,d4aae6d381cbf4a77a66437c2b10f3845ece281ba5a408c3d2b73165bc0f4bb0,697,43,654
SR-HSE,HA1E,2,4042,4042,c11c6dd0c854d8a9a221a078bd89f6950bcd1f2c7144c68b4d6531367fd6f843,697,43,654
SR-HSE,HA1E,3,5042,5042,3c8912762b8fc25c0d669ad277ae33ed1a48e801d7c05fac5b0907f5dbd3c1aa,697,43,654
SR-HSE,HA1E,4,6042,6042,b839a96c9157c7d4bd7d0bce86d8b22a05b34f2224adf3f787f12dc534596340,697,43,654
SR-HSE,HA1E,5,7042,7042,af6f31f8de0d9852c5b8f1beeb58a6e95242442e047ff6742a8324c0efe7ad02,697,43,654
SR-HSE,HA1E,6,8042,8042,de2f72906307dd2480d11f0db074e8c39a15e835bc1f26220e1626295f2abf49,697,43,654
SR-HSE,HA1E,7,9042,9042,e702661cfa16ec89cba468a3b7723775f677d06fd1375cfca9b3bc500b7c1c24,697,43,654
SR-HSE,HA1E,8,10042,10043,73430f92c86f8aff8c427ea296842d4d1a9f5385dc4ccdea3e79216166124f6c,697,43,654
SR-HSE,HA1E,9,11042,11042,ba778db26717aa3db21b5ae14c2ad2d8fb984d15df6728ac84de5c1fe39bc6f9,697,43,654
SR-HSE,HA1E,10,12042,12042,76db79de3b18d4f429cb10e8b43d679a46411f32120d32c26ef853100d536f6d,697,43,654
SR-HSE,HA1E,11,13042,13042,0281e39a8b23e93c0bdbe3d9832ecc66efa590bd1a107d1e19611a872869920c,697,43,654
SR-HSE,HA1E,12,14042,14042,39b53b8cc2507fd296ce1bf6b49b751f3dc1d06bc79258c347079fba97398cba,697,43,654
SR-HSE,HA1E,13,15042,15042,404d67de8a0f4da0772624ad2a54c222feec86ae0b202982c6d3dbe2177f3148,697,43,654
SR-HSE,HA1E,14,16042,16042,efc05d45a2ec8e06f539e6ac522c6225aa1523002cf402385079022358f5cfb9,697,43,654
SR-HSE,HA1E,15,17042,17042,b404c4a903d498bc3310b58dc81beb789655c670b2afb232968f1caecdd4d159,697,43,654
SR-HSE,HA1E,16,18042,18042,8e4b579c026e6c674c68688ffcb1a82f98d50b133d1bcb271af72c0f3cd65939,697,43,654
SR-HSE,HA1E,17,19042,19042,700dee9042aef1f7e47796d262280a0571a6001f191b0751d78070dda2ee5f8a,697,43,654
